ParkName,UnitCode,ParkType,Region,State,Year,Month,RecreationVisits,NonRecreationVisits,RecreationHours,NonRecreationHours,ConcessionerLodging,ConcessionerCamping,TentCampers,RVCampers,Backcountry,NonRecreationOvernightStays,MiscellaneousOvernightStays,ParkNameTotal,UnitCodeTotal,ParkTypeTotal,RegionTotal,StateTotal,YearTotal,RecreationVisitsTotal,NonRecreationVisitsTotal,RecreationHoursTotal,NonRecreationHoursTotal,ConcessionerLodgingTotal,ConcessionerCampingTotal,TentCampersTotal,RVCampersTotal,BackcountryTotal,NonRecreationOvernightStaysTotal,MiscellaneousOvernightStaysTotal
Abraham Lincoln Birthplace NHP,ABLI,National Historical Park,Southeast ,KY,2011,1,"2,643",0,"2,643",0,0,0,0,0,0,0,0,Abraham Lincoln Birthplace NHP,ABLI,National Historical Park,Southeast ,KY,2011,"163,568",0,"163,568",0,0,0,0,0,0,0,0
Abraham Lincoln Birthplace NHP,ABLI,National Historical Park,Southeast ,KY,2011,2,"3,647",0,"3,647",0,0,0,0,0,0,0,0,Abraham Lincoln Birthplace NHP,ABLI,National Historical Park,Southeast ,KY,2011,"163,568",0,"163,568",0,0,0,0,0,0,0,0
Abraham Lincoln Birthplace NHP,ABLI,National Historical Park,Southeast ,KY,2011,3,"7,925",0,"7,925",0,0,0,0,0,0,0,0,Abraham Lincoln Birthplace NHP,ABLI,National Historical Park,Southeast ,KY,2011,"163,568",0,"163,568",0,0,0,0,0,0,0,0
Abraham Lincoln Birthplace NHP,ABLI,National Historical Park,Southeast ,KY,2011,4,"19,339",0,"19,339",0,0,0,0,0,0,0,0,Abraham Lincoln Birthplace NHP,ABLI,National Historical Park,Southeast ,KY,2011,"163,568",0,"163,568",0,0,0,0,0,0,0,0
Abraham Lincoln Birthplace NHP,ABLI,National Historical Park,Southeast ,KY,2011,5,"16,958",0,"16,958",0,0,0,0,0,0,0,0,Abraham Lincoln Birthplace NHP,ABLI,National Historical Park,Southeast ,KY,2011,"163,568",0,"163,568",0,0,0,0,0,0,0,0
Abraham Lincoln Birthplace NHP,ABLI,National Historical Park,Southeast ,KY,2011,6,"21,492",0,"21,492",0,0,0,0,0,0,0,0,Abraham Lincoln Birthplace NHP,ABLI,National Historical Park,Southeast ,KY,2011,"163,568",0,"163,568",0,0,0,0,0,0,0,0
Abraham Lincoln Birthplace NHP,ABLI,National Historical Park,Southeast ,KY,2011,7,"26,221",0,"26,221",0,0,0,0,0,0,0,0,Abraham Lincoln Birthplace NHP,ABLI,National Historical Park,Southeast ,KY,2011,"163,568",0,"163,568",0,0,0,0,0,0,0,0
Abraham Lincoln Birthplace NHP,ABLI,National Historical Park,Southeast ,KY,2011,8,"20,223",0,"20,223",0,0,0,0,0,0,0,0,Abraham Lincoln Birthplace NHP,ABLI,National Historical Park,Southeast ,KY,2011,"163,568",0,"163,568",0,0,0,0,0,0,0,0
Abraham Lincoln Birthplace NHP,ABLI,National Historical Park,Southeast ,KY,2011,9,"20,568",0,"20,568",0,0,0,0,0,0,0,0,Abraham Lincoln Birthplace NHP,ABLI,National Historical Park,Southeast ,KY,2011,"163,568",0,"163,568",0,0,0,0,0,0,0,0
Abraham Lincoln Birthplace NHP,ABLI,National Historical Park,Southeast ,KY,2011,10,"12,889",0,"12,889",0,0,0,0,0,0,0,0,Abraham Lincoln Birthplace NHP,ABLI,National Historical Park,Southeast ,KY,2011,"163,568",0,"163,568",0,0,0,0,0,0,0,0
Abraham Lincoln Birthplace NHP,ABLI,National Historical Park,Southeast ,KY,2011,11,"6,757",0,"6,757",0,0,0,0,0,0,0,0,Abraham Lincoln Birthplace NHP,ABLI,National Historical Park,Southeast ,KY,2011,"163,568",0,"163,568",0,0,0,0,0,0,0,0
Abraham Lincoln Birthplace NHP,ABLI,National Historical Park,Southeast ,KY,2011,12,"4,906",0,"4,906",0,0,0,0,0,0,0,0,Abraham Lincoln Birthplace NHP,ABLI,National Historical Park,Southeast ,KY,2011,"163,568",0,"163,568",0,0,0,0,0,0,0,0
Acadia NP,ACAD,National Park,Northeast ,ME,2011,1,"10,428",600,"68,825",600,0,0,0,0,0,0,0,Acadia NP,ACAD,National Park,Northeast ,ME,2011,"2,374,645","47,100","12,101,384","47,100",0,0,"117,879","27,519","1,157",0,"7,243"
Acadia NP,ACAD,National Park,Northeast ,ME,2011,2,"9,533",600,"62,916",600,0,0,0,0,0,0,0,Acadia NP,ACAD,National Park,Northeast ,ME,2011,"2,374,645","47,100","12,101,384","47,100",0,0,"117,879","27,519","1,157",0,"7,243"
Acadia NP,ACAD,National Park,Northeast ,ME,2011,3,"19,510",600,"128,763",600,0,0,0,0,0,0,0,Acadia NP,ACAD,National Park,Northeast ,ME,2011,"2,374,645","47,100","12,101,384","47,100",0,0,"117,879","27,519","1,157",0,"7,243"
Acadia NP,ACAD,National Park,Northeast ,ME,2011,4,"58,307",600,"338,182",600,0,0,411,63,0,0,20,Acadia NP,ACAD,National Park,Northeast ,ME,2011,"2,374,645","47,100","12,101,384","47,100",0,0,"117,879","27,519","1,157",0,"7,243"
Acadia NP,ACAD,National Park,Northeast ,ME,2011,5,"132,720","7,500","755,930","7,500",0,0,"6,489","1,572",90,0,360,Acadia NP,ACAD,National Park,Northeast ,ME,2011,"2,374,645","47,100","12,101,384","47,100",0,0,"117,879","27,519","1,157",0,"7,243"
Acadia NP,ACAD,National Park,Northeast ,ME,2011,6,"297,222","7,500","1,690,818","7,500",0,0,"15,534","4,134",166,0,"1,186",Acadia NP,ACAD,National Park,Northeast ,ME,2011,"2,374,645","47,100","12,101,384","47,100",0,0,"117,879","27,519","1,157",0,"7,243"
Acadia NP,ACAD,National Park,Northeast ,ME,2011,7,"559,892","7,500","2,749,851","7,500",0,0,"36,453","7,119",389,0,"2,236",Acadia NP,ACAD,National Park,Northeast ,ME,2011,"2,374,645","47,100","12,101,384","47,100",0,0,"117,879","27,519","1,157",0,"7,243"
Acadia NP,ACAD,National Park,Northeast ,ME,2011,8,"583,153","7,500","2,826,553","7,500",0,0,"34,884","6,195",240,0,"2,247",Acadia NP,ACAD,National Park,Northeast ,ME,2011,"2,374,645","47,100","12,101,384","47,100",0,0,"117,879","27,519","1,157",0,"7,243"
Acadia NP,ACAD,National Park,Northeast ,ME,2011,9,"387,868","7,500","1,807,572","7,500",0,0,"17,832","6,075",167,0,869,Acadia NP,ACAD,National Park,Northeast ,ME,2011,"2,374,645","47,100","12,101,384","47,100",0,0,"117,879","27,519","1,157",0,"7,243"
Acadia NP,ACAD,National Park,Northeast ,ME,2011,10,"270,477","6,000","1,398,762","6,000",0,0,"6,276","2,361",105,0,325,Acadia NP,ACAD,National Park,Northeast ,ME,2011,"2,374,645","47,100","12,101,384","47,100",0,0,"117,879","27,519","1,157",0,"7,243"
