ParkName,UnitCode,ParkType,Region,State,Year,Month,RecreationVisits,NonRecreationVisits,RecreationHours,NonRecreationHours,ConcessionerLodging,ConcessionerCamping,TentCampers,RVCampers,Backcountry,NonRecreationOvernightStays,MiscellaneousOvernightStays,ParkNameTotal,UnitCodeTotal,ParkTypeTotal,RegionTotal,StateTotal,YearTotal,RecreationVisitsTotal,NonRecreationVisitsTotal,RecreationHoursTotal,NonRecreationHoursTotal,ConcessionerLodgingTotal,ConcessionerCampingTotal,TentCampersTotal,RVCampersTotal,BackcountryTotal,NonRecreationOvernightStaysTotal,MiscellaneousOvernightStaysTotal
Abraham Lincoln Birthplace NHP,ABLI,National Historical Park,Southeast ,KY,1990,1,"5,475",0,"5,475",0,0,0,0,0,0,0,0,Abraham Lincoln Birthplace NHP,ABLI,National Historical Park,Southeast ,KY,1990,"307,669",0,"307,669",0,0,0,0,0,0,0,0
Abraham Lincoln Birthplace NHP,ABLI,National Historical Park,Southeast ,KY,1990,2,"8,303",0,"8,303",0,0,0,0,0,0,0,0,Abraham Lincoln Birthplace NHP,ABLI,National Historical Park,Southeast ,KY,1990,"307,669",0,"307,669",0,0,0,0,0,0,0,0
Abraham Lincoln Birthplace NHP,ABLI,National Historical Park,Southeast ,KY,1990,3,"14,032",0,"14,032",0,0,0,0,0,0,0,0,Abraham Lincoln Birthplace NHP,ABLI,National Historical Park,Southeast ,KY,1990,"307,669",0,"307,669",0,0,0,0,0,0,0,0
Abraham Lincoln Birthplace NHP,ABLI,National Historical Park,Southeast ,KY,1990,4,"32,088",0,"32,088",0,0,0,0,0,0,0,0,Abraham Lincoln Birthplace NHP,ABLI,National Historical Park,Southeast ,KY,1990,"307,669",0,"307,669",0,0,0,0,0,0,0,0
Abraham Lincoln Birthplace NHP,ABLI,National Historical Park,Southeast ,KY,1990,5,"31,259",0,"31,259",0,0,0,0,0,0,0,0,Abraham Lincoln Birthplace NHP,ABLI,National Historical Park,Southeast ,KY,1990,"307,669",0,"307,669",0,0,0,0,0,0,0,0
Abraham Lincoln Birthplace NHP,ABLI,National Historical Park,Southeast ,KY,1990,6,"42,742",0,"42,742",0,0,0,0,0,0,0,0,Abraham Lincoln Birthplace NHP,ABLI,National Historical Park,Southeast ,KY,1990,"307,669",0,"307,669",0,0,0,0,0,0,0,0
Abraham Lincoln Birthplace NHP,ABLI,National Historical Park,Southeast ,KY,1990,7,"58,403",0,"58,403",0,0,0,0,0,0,0,0,Abraham Lincoln Birthplace NHP,ABLI,National Historical Park,Southeast ,KY,1990,"307,669",0,"307,669",0,0,0,0,0,0,0,0
Abraham Lincoln Birthplace NHP,ABLI,National Historical Park,Southeast ,KY,1990,8,"47,773",0,"47,773",0,0,0,0,0,0,0,0,Abraham Lincoln Birthplace NHP,ABLI,National Historical Park,Southeast ,KY,1990,"307,669",0,"307,669",0,0,0,0,0,0,0,0
Abraham Lincoln Birthplace NHP,ABLI,National Historical Park,Southeast ,KY,1990,9,"30,545",0,"30,545",0,0,0,0,0,0,0,0,Abraham Lincoln Birthplace NHP,ABLI,National Historical Park,Southeast ,KY,1990,"307,669",0,"307,669",0,0,0,0,0,0,0,0
Abraham Lincoln Birthplace NHP,ABLI,National Historical Park,Southeast ,KY,1990,10,"20,955",0,"20,955",0,0,0,0,0,0,0,0,Abraham Lincoln Birthplace NHP,ABLI,National Historical Park,Southeast ,KY,1990,"307,669",0,"307,669",0,0,0,0,0,0,0,0
Abraham Lincoln Birthplace NHP,ABLI,National Historical Park,Southeast ,KY,1990,11,"11,245",0,"11,245",0,0,0,0,0,0,0,0,Abraham Lincoln Birthplace NHP,ABLI,National Historical Park,Southeast ,KY,1990,"307,669",0,"307,669",0,0,0,0,0,0,0,0
Abraham Lincoln Birthplace NHP,ABLI,National Historical Park,Southeast ,KY,1990,12,"4,849",0,"4,849",0,0,0,0,0,0,0,0,Abraham Lincoln Birthplace NHP,ABLI,National Historical Park,Southeast ,KY,1990,"307,669",0,"307,669",0,0,0,0,0,0,0,0
Acadia NP,ACAD,National Park,Northeast ,ME,1990,1,"16,084","20,343","106,155","20,343",0,0,75,30,0,0,0,Acadia NP,ACAD,National Park,Northeast ,ME,1990,"2,339,591","252,546","12,738,818","252,576",0,0,"126,135","29,724",0,0,"9,748"
Acadia NP,ACAD,National Park,Northeast ,ME,1990,2,"13,383","19,923","88,328","19,923",0,0,90,3,0,0,0,Acadia NP,ACAD,National Park,Northeast ,ME,1990,"2,339,591","252,546","12,738,818","252,576",0,0,"126,135","29,724",0,0,"9,748"
Acadia NP,ACAD,National Park,Northeast ,ME,1990,3,"30,060","20,373","198,396","20,373",0,0,225,135,0,0,0,Acadia NP,ACAD,National Park,Northeast ,ME,1990,"2,339,591","252,546","12,738,818","252,576",0,0,"126,135","29,724",0,0,"9,748"
Acadia NP,ACAD,National Park,Northeast ,ME,1990,4,"17,898","21,723","417,008","21,723",0,0,981,315,0,0,115,Acadia NP,ACAD,National Park,Northeast ,ME,1990,"2,339,591","252,546","12,738,818","252,576",0,0,"126,135","29,724",0,0,"9,748"
Acadia NP,ACAD,National Park,Northeast ,ME,1990,5,"148,090","21,923","858,921","21,923",0,0,"6,018","1,251",0,0,"1,235",Acadia NP,ACAD,National Park,Northeast ,ME,1990,"2,339,591","252,546","12,738,818","252,576",0,0,"126,135","29,724",0,0,"9,748"
Acadia NP,ACAD,National Park,Northeast ,ME,1990,6,"290,533","21,723","1,685,091","21,723",0,0,"15,723","3,963",0,0,"1,497",Acadia NP,ACAD,National Park,Northeast ,ME,1990,"2,339,591","252,546","12,738,818","252,576",0,0,"126,135","29,724",0,0,"9,748"
Acadia NP,ACAD,National Park,Northeast ,ME,1990,7,"554,953","21,923","2,774,765","21,923",0,0,"37,707","6,972",0,0,"3,413",Acadia NP,ACAD,National Park,Northeast ,ME,1990,"2,339,591","252,546","12,738,818","252,576",0,0,"126,135","29,724",0,0,"9,748"
Acadia NP,ACAD,National Park,Northeast ,ME,1990,8,"645,522","21,923","3,227,610","21,923",0,0,"40,743","7,005",0,0,"2,130",Acadia NP,ACAD,National Park,Northeast ,ME,1990,"2,339,591","252,546","12,738,818","252,576",0,0,"126,135","29,724",0,0,"9,748"
Acadia NP,ACAD,National Park,Northeast ,ME,1990,9,"355,864","21,723","1,779,320","21,723",0,0,"19,629","7,233",0,0,869,Acadia NP,ACAD,National Park,Northeast ,ME,1990,"2,339,591","252,546","12,738,818","252,576",0,0,"126,135","29,724",0,0,"9,748"
Acadia NP,ACAD,National Park,Northeast ,ME,1990,10,"207,770","20,373","1,246,620","20,373",0,0,"4,407","2,601",0,0,338,Acadia NP,ACAD,National Park,Northeast ,ME,1990,"2,339,591","252,546","12,738,818","252,576",0,0,"126,135","29,724",0,0,"9,748"
Acadia NP,ACAD,National Park,Northeast ,ME,1990,11,"47,633","20,223","285,798","20,223",0,0,504,135,0,0,143,Acadia NP,ACAD,National Park,Northeast ,ME,1990,"2,339,591","252,546","12,738,818","252,576",0,0,"126,135","29,724",0,0,"9,748"
Acadia NP,ACAD,National Park,Northeast ,ME,1990,12,"11,801","20,373","70,806","20,373",0,0,33,81,0,0,8,Acadia NP,ACAD,National Park,Northeast ,ME,1990,"2,339,591","252,546","12,738,818","252,576",0,0,"126,135","29,724",0,0,"9,748"
Adams NHP,ADAM,National Historical Park,Northeast ,MA,1990,1,0,0,0,0,0,0,0,0,0,0,0,Adams NHP,ADAM,National Historical Park,Northeast ,MA,1990,"20,315","14,987","15,238","7,494",0,0,0,0,0,0,0
Adams NHP,ADAM,National Historical Park,Northeast ,MA,1990,2,0,0,0,0,0,0,0,0,0,0,0,Adams NHP,ADAM,National Historical Park,Northeast ,MA,1990,"20,315","14,987","15,238","7,494",0,0,0,0,0,0,0
Adams NHP,ADAM,National Historical Park,Northeast ,MA,1990,3,0,0,0,0,0,0,0,0,0,0,0,Adams NHP,ADAM,National Historical Park,Northeast ,MA,1990,"20,315","14,987","15,238","7,494",0,0,0,0,0,0,0
Adams NHP,ADAM,National Historical Park,Northeast ,MA,1990,4,"1,018","1,284",764,"1,284",0,0,0,0,0,0,0,Adams NHP,ADAM,National Historical Park,Northeast ,MA,1990,"20,315","14,987","15,238","7,494",0,0,0,0,0,0,0
Adams NHP,ADAM,National Historical Park,Northeast ,MA,1990,5,"2,167","1,490","1,626","1,490",0,0,0,0,0,0,0,Adams NHP,ADAM,National Historical Park,Northeast ,MA,1990,"20,315","14,987","15,238","7,494",0,0,0,0,0,0,0
Adams NHP,ADAM,National Historical Park,Northeast ,MA,1990,6,"2,893","1,999","2,170","1,999",0,0,0,0,0,0,0,Adams NHP,ADAM,National Historical Park,Northeast ,MA,1990,"20,315","14,987","15,238","7,494",0,0,0,0,0,0,0
Adams NHP,ADAM,National Historical Park,Northeast ,MA,1990,7,"3,988","2,372","2,991","2,372",0,0,0,0,0,0,0,Adams NHP,ADAM,National Historical Park,Northeast ,MA,1990,"20,315","14,987","15,238","7,494",0,0,0,0,0,0,0
Adams NHP,ADAM,National Historical Park,Northeast ,MA,1990,8,"3,821","2,160","2,866","2,160",0,0,0,0,0,0,0,Adams NHP,ADAM,National Historical Park,Northeast ,MA,1990,"20,315","14,987","15,238","7,494",0,0,0,0,0,0,0
Adams NHP,ADAM,National Historical Park,Northeast ,MA,1990,9,"2,707","2,166","2,030","2,166",0,0,0,0,0,0,0,Adams NHP,ADAM,National Historical Park,Northeast ,MA,1990,"20,315","14,987","15,238","7,494",0,0,0,0,0,0,0
Adams NHP,ADAM,National Historical Park,Northeast ,MA,1990,10,"3,143","2,416","2,357","2,416",0,0,0,0,0,0,0,Adams NHP,ADAM,National Historical Park,Northeast ,MA,1990,"20,315","14,987","15,238","7,494",0,0,0,0,0,0,0
Adams NHP,ADAM,National Historical Park,Northeast ,MA,1990,11,578,"1,100",434,"1,100",0,0,0,0,0,0,0,Adams NHP,ADAM,National Historical Park,Northeast ,MA,1990,"20,315","14,987","15,238","7,494",0,0,0,0,0,0,0
Adams NHP,ADAM,National Historical Park,Northeast ,MA,1990,12,0,0,0,0,0,0,0,0,0,0,0,Adams NHP,ADAM,National Historical Park,Northeast ,MA,1990,"20,315","14,987","15,238","7,494",0,0,0,0,0,0,0
Agate Fossil Beds NM,AGFO,National Monument,Midwest ,NE,1990,1,54,750,46,750,0,0,0,0,0,0,0,Agate Fossil Beds NM,AGFO,National Monument,Midwest ,NE,1990,"14,482","9,000","18,716",756,0,0,0,0,0,0,0
Agate Fossil Beds NM,AGFO,National Monument,Midwest ,NE,1990,2,62,750,108,750,0,0,0,0,0,0,0,Agate Fossil Beds NM,AGFO,National Monument,Midwest ,NE,1990,"14,482","9,000","18,716",756,0,0,0,0,0,0,0
Agate Fossil Beds NM,AGFO,National Monument,Midwest ,NE,1990,3,176,750,191,750,0,0,0,0,0,0,0,Agate Fossil Beds NM,AGFO,National Monument,Midwest ,NE,1990,"14,482","9,000","18,716",756,0,0,0,0,0,0,0
Agate Fossil Beds NM,AGFO,National Monument,Midwest ,NE,1990,4,679,750,703,750,0,0,0,0,0,0,0,Agate Fossil Beds NM,AGFO,National Monument,Midwest ,NE,1990,"14,482","9,000","18,716",756,0,0,0,0,0,0,0
Agate Fossil Beds NM,AGFO,National Monument,Midwest ,NE,1990,5,963,750,"1,398",750,0,0,0,0,0,0,0,Agate Fossil Beds NM,AGFO,National Monument,Midwest ,NE,1990,"14,482","9,000","18,716",756,0,0,0,0,0,0,0
Agate Fossil Beds NM,AGFO,National Monument,Midwest ,NE,1990,6,"4,813",750,"5,331",750,0,0,0,0,0,0,0,Agate Fossil Beds NM,AGFO,National Monument,Midwest ,NE,1990,"14,482","9,000","18,716",756,0,0,0,0,0,0,0
Agate Fossil Beds NM,AGFO,National Monument,Midwest ,NE,1990,7,"2,940",750,"4,346",750,0,0,0,0,0,0,0,Agate Fossil Beds NM,AGFO,National Monument,Midwest ,NE,1990,"14,482","9,000","18,716",756,0,0,0,0,0,0,0
Agate Fossil Beds NM,AGFO,National Monument,Midwest ,NE,1990,8,"2,909",750,"4,023",750,0,0,0,0,0,0,0,Agate Fossil Beds NM,AGFO,National Monument,Midwest ,NE,1990,"14,482","9,000","18,716",756,0,0,0,0,0,0,0
Agate Fossil Beds NM,AGFO,National Monument,Midwest ,NE,1990,9,"1,131",750,"1,612",750,0,0,0,0,0,0,0,Agate Fossil Beds NM,AGFO,National Monument,Midwest ,NE,1990,"14,482","9,000","18,716",756,0,0,0,0,0,0,0
Agate Fossil Beds NM,AGFO,National Monument,Midwest ,NE,1990,10,573,750,704,750,0,0,0,0,0,0,0,Agate Fossil Beds NM,AGFO,National Monument,Midwest ,NE,1990,"14,482","9,000","18,716",756,0,0,0,0,0,0,0
Agate Fossil Beds NM,AGFO,National Monument,Midwest ,NE,1990,11,134,750,213,750,0,0,0,0,0,0,0,Agate Fossil Beds NM,AGFO,National Monument,Midwest ,NE,1990,"14,482","9,000","18,716",756,0,0,0,0,0,0,0
Agate Fossil Beds NM,AGFO,National Monument,Midwest ,NE,1990,12,48,750,41,750,0,0,0,0,0,0,0,Agate Fossil Beds NM,AGFO,National Monument,Midwest ,NE,1990,"14,482","9,000","18,716",756,0,0,0,0,0,0,0
Alibates Flint Quarries NM,ALFL,National Monument,Intermountain ,TX,1990,1,36,0,90,0,0,0,0,0,0,0,0,Alibates Flint Quarries NM,ALFL,National Monument,Intermountain ,TX,1990,"3,418",0,"8,546",0,0,0,0,0,0,0,0
Alibates Flint Quarries NM,ALFL,National Monument,Intermountain ,TX,1990,2,7,0,18,0,0,0,0,0,0,0,0,Alibates Flint Quarries NM,ALFL,National Monument,Intermountain ,TX,1990,"3,418",0,"8,546",0,0,0,0,0,0,0,0
Alibates Flint Quarries NM,ALFL,National Monument,Intermountain ,TX,1990,3,60,0,150,0,0,0,0,0,0,0,0,Alibates Flint Quarries NM,ALFL,National Monument,Intermountain ,TX,1990,"3,418",0,"8,546",0,0,0,0,0,0,0,0
Alibates Flint Quarries NM,ALFL,National Monument,Intermountain ,TX,1990,4,331,0,828,0,0,0,0,0,0,0,0,Alibates Flint Quarries NM,ALFL,National Monument,Intermountain ,TX,1990,"3,418",0,"8,546",0,0,0,0,0,0,0,0
Alibates Flint Quarries NM,ALFL,National Monument,Intermountain ,TX,1990,5,822,0,"2,055",0,0,0,0,0,0,0,0,Alibates Flint Quarries NM,ALFL,National Monument,Intermountain ,TX,1990,"3,418",0,"8,546",0,0,0,0,0,0,0,0
Alibates Flint Quarries NM,ALFL,National Monument,Intermountain ,TX,1990,6,374,0,935,0,0,0,0,0,0,0,0,Alibates Flint Quarries NM,ALFL,National Monument,Intermountain ,TX,1990,"3,418",0,"8,546",0,0,0,0,0,0,0,0
Alibates Flint Quarries NM,ALFL,National Monument,Intermountain ,TX,1990,7,493,0,"1,233",0,0,0,0,0,0,0,0,Alibates Flint Quarries NM,ALFL,National Monument,Intermountain ,TX,1990,"3,418",0,"8,546",0,0,0,0,0,0,0,0
Alibates Flint Quarries NM,ALFL,National Monument,Intermountain ,TX,1990,8,402,0,"1,005",0,0,0,0,0,0,0,0,Alibates Flint Quarries NM,ALFL,National Monument,Intermountain ,TX,1990,"3,418",0,"8,546",0,0,0,0,0,0,0,0
Alibates Flint Quarries NM,ALFL,National Monument,Intermountain ,TX,1990,9,221,0,553,0,0,0,0,0,0,0,0,Alibates Flint Quarries NM,ALFL,National Monument,Intermountain ,TX,1990,"3,418",0,"8,546",0,0,0,0,0,0,0,0
Alibates Flint Quarries NM,ALFL,National Monument,Intermountain ,TX,1990,10,343,0,856,0,0,0,0,0,0,0,0,Alibates Flint Quarries NM,ALFL,National Monument,Intermountain ,TX,1990,"3,418",0,"8,546",0,0,0,0,0,0,0,0
Alibates Flint Quarries NM,ALFL,National Monument,Intermountain ,TX,1990,11,320,0,800,0,0,0,0,0,0,0,0,Alibates Flint Quarries NM,ALFL,National Monument,Intermountain ,TX,1990,"3,418",0,"8,546",0,0,0,0,0,0,0,0
Alibates Flint Quarries NM,ALFL,National Monument,Intermountain ,TX,1990,12,9,0,23,0,0,0,0,0,0,0,0,Alibates Flint Quarries NM,ALFL,National Monument,Intermountain ,TX,1990,"3,418",0,"8,546",0,0,0,0,0,0,0,0
Allegheny Portage Railroad NHS,ALPO,National Historic Site,Northeast ,PA,1990,1,"6,242",60,"5,340",60,0,0,0,0,0,0,0,Allegheny Portage Railroad NHS,ALPO,National Historic Site,Northeast ,PA,1990,"131,735","1,260","160,628","1,260",0,0,0,0,0,0,0
Allegheny Portage Railroad NHS,ALPO,National Historic Site,Northeast ,PA,1990,2,"5,261",51,"4,491",51,0,0,0,0,0,0,0,Allegheny Portage Railroad NHS,ALPO,National Historic Site,Northeast ,PA,1990,"131,735","1,260","160,628","1,260",0,0,0,0,0,0,0
Allegheny Portage Railroad NHS,ALPO,National Historic Site,Northeast ,PA,1990,3,"6,931",69,"5,917",69,0,0,0,0,0,0,0,Allegheny Portage Railroad NHS,ALPO,National Historic Site,Northeast ,PA,1990,"131,735","1,260","160,628","1,260",0,0,0,0,0,0,0
Allegheny Portage Railroad NHS,ALPO,National Historic Site,Northeast ,PA,1990,4,"12,306",120,"15,096",120,0,0,0,0,0,0,0,Allegheny Portage Railroad NHS,ALPO,National Historic Site,Northeast ,PA,1990,"131,735","1,260","160,628","1,260",0,0,0,0,0,0,0
Allegheny Portage Railroad NHS,ALPO,National Historic Site,Northeast ,PA,1990,5,"12,878",108,"16,271",108,0,0,0,0,0,0,0,Allegheny Portage Railroad NHS,ALPO,National Historic Site,Northeast ,PA,1990,"131,735","1,260","160,628","1,260",0,0,0,0,0,0,0
Allegheny Portage Railroad NHS,ALPO,National Historic Site,Northeast ,PA,1990,6,"17,744",171,"23,668",171,0,0,0,0,0,0,0,Allegheny Portage Railroad NHS,ALPO,National Historic Site,Northeast ,PA,1990,"131,735","1,260","160,628","1,260",0,0,0,0,0,0,0
Allegheny Portage Railroad NHS,ALPO,National Historic Site,Northeast ,PA,1990,7,"19,159",186,"24,183",186,0,0,0,0,0,0,0,Allegheny Portage Railroad NHS,ALPO,National Historic Site,Northeast ,PA,1990,"131,735","1,260","160,628","1,260",0,0,0,0,0,0,0
Allegheny Portage Railroad NHS,ALPO,National Historic Site,Northeast ,PA,1990,8,"15,766",153,"20,868",153,0,0,0,0,0,0,0,Allegheny Portage Railroad NHS,ALPO,National Historic Site,Northeast ,PA,1990,"131,735","1,260","160,628","1,260",0,0,0,0,0,0,0
Allegheny Portage Railroad NHS,ALPO,National Historic Site,Northeast ,PA,1990,9,"11,798",114,"15,389",114,0,0,0,0,0,0,0,Allegheny Portage Railroad NHS,ALPO,National Historic Site,Northeast ,PA,1990,"131,735","1,260","160,628","1,260",0,0,0,0,0,0,0
Allegheny Portage Railroad NHS,ALPO,National Historic Site,Northeast ,PA,1990,10,"12,369",117,"16,557",117,0,0,0,0,0,0,0,Allegheny Portage Railroad NHS,ALPO,National Historic Site,Northeast ,PA,1990,"131,735","1,260","160,628","1,260",0,0,0,0,0,0,0
Allegheny Portage Railroad NHS,ALPO,National Historic Site,Northeast ,PA,1990,11,"7,327",72,"9,473",72,0,0,0,0,0,0,0,Allegheny Portage Railroad NHS,ALPO,National Historic Site,Northeast ,PA,1990,"131,735","1,260","160,628","1,260",0,0,0,0,0,0,0
Allegheny Portage Railroad NHS,ALPO,National Historic Site,Northeast ,PA,1990,12,"3,954",39,"3,375",39,0,0,0,0,0,0,0,Allegheny Portage Railroad NHS,ALPO,National Historic Site,Northeast ,PA,1990,"131,735","1,260","160,628","1,260",0,0,0,0,0,0,0
Amistad NRA,AMIS,National Recreation Area,Intermountain ,TX,1990,1,"95,461",94,"717,253",94,0,0,126,"1,478",70,0,25,Amistad NRA,AMIS,National Recreation Area,Intermountain ,TX,1990,"1,306,474","1,128","9,801,626","1,128",0,0,"2,969","12,597","3,324",0,"3,143"
Amistad NRA,AMIS,National Recreation Area,Intermountain ,TX,1990,2,"105,861",94,"809,085",94,0,0,140,"2,474",281,0,130,Amistad NRA,AMIS,National Recreation Area,Intermountain ,TX,1990,"1,306,474","1,128","9,801,626","1,128",0,0,"2,969","12,597","3,324",0,"3,143"
Amistad NRA,AMIS,National Recreation Area,Intermountain ,TX,1990,3,"116,683",94,"898,117",94,0,0,246,"2,566",839,0,210,Amistad NRA,AMIS,National Recreation Area,Intermountain ,TX,1990,"1,306,474","1,128","9,801,626","1,128",0,0,"2,969","12,597","3,324",0,"3,143"
Amistad NRA,AMIS,National Recreation Area,Intermountain ,TX,1990,4,"119,676",94,"905,638",94,0,0,389,"1,528",460,0,290,Amistad NRA,AMIS,National Recreation Area,Intermountain ,TX,1990,"1,306,474","1,128","9,801,626","1,128",0,0,"2,969","12,597","3,324",0,"3,143"
Amistad NRA,AMIS,National Recreation Area,Intermountain ,TX,1990,5,"141,053",94,"1,051,056",94,0,0,253,557,441,0,530,Amistad NRA,AMIS,National Recreation Area,Intermountain ,TX,1990,"1,306,474","1,128","9,801,626","1,128",0,0,"2,969","12,597","3,324",0,"3,143"
Amistad NRA,AMIS,National Recreation Area,Intermountain ,TX,1990,6,"137,181",94,"1,019,048",94,0,0,338,284,277,0,570,Amistad NRA,AMIS,National Recreation Area,Intermountain ,TX,1990,"1,306,474","1,128","9,801,626","1,128",0,0,"2,969","12,597","3,324",0,"3,143"
