ParkName,UnitCode,ParkType,Region,State,Year,Month,RecreationVisits,NonRecreationVisits,RecreationHours,NonRecreationHours,ConcessionerLodging,ConcessionerCamping,TentCampers,RVCampers,Backcountry,NonRecreationOvernightStays,MiscellaneousOvernightStays,ParkNameTotal,UnitCodeTotal,ParkTypeTotal,RegionTotal,StateTotal,YearTotal,RecreationVisitsTotal,NonRecreationVisitsTotal,RecreationHoursTotal,NonRecreationHoursTotal,ConcessionerLodgingTotal,ConcessionerCampingTotal,TentCampersTotal,RVCampersTotal,BackcountryTotal,NonRecreationOvernightStaysTotal,MiscellaneousOvernightStaysTotal
Abraham Lincoln Birthplace NHP,ABLI,National Historical Park,Southeast ,KY,2001,1,"5,294",0,"5,294",0,0,0,0,0,0,0,0,Abraham Lincoln Birthplace NHP,ABLI,National Historical Park,Southeast ,KY,2001,"229,675",0,"229,675",0,0,0,0,0,0,0,0
Abraham Lincoln Birthplace NHP,ABLI,National Historical Park,Southeast ,KY,2001,2,"7,236",0,"7,236",0,0,0,0,0,0,0,0,Abraham Lincoln Birthplace NHP,ABLI,National Historical Park,Southeast ,KY,2001,"229,675",0,"229,675",0,0,0,0,0,0,0,0
Abraham Lincoln Birthplace NHP,ABLI,National Historical Park,Southeast ,KY,2001,3,"11,609",0,"11,609",0,0,0,0,0,0,0,0,Abraham Lincoln Birthplace NHP,ABLI,National Historical Park,Southeast ,KY,2001,"229,675",0,"229,675",0,0,0,0,0,0,0,0
Abraham Lincoln Birthplace NHP,ABLI,National Historical Park,Southeast ,KY,2001,4,"23,039",0,"23,039",0,0,0,0,0,0,0,0,Abraham Lincoln Birthplace NHP,ABLI,National Historical Park,Southeast ,KY,2001,"229,675",0,"229,675",0,0,0,0,0,0,0,0
Abraham Lincoln Birthplace NHP,ABLI,National Historical Park,Southeast ,KY,2001,5,"27,133",0,"27,133",0,0,0,0,0,0,0,0,Abraham Lincoln Birthplace NHP,ABLI,National Historical Park,Southeast ,KY,2001,"229,675",0,"229,675",0,0,0,0,0,0,0,0
Abraham Lincoln Birthplace NHP,ABLI,National Historical Park,Southeast ,KY,2001,6,"28,642",0,"28,642",0,0,0,0,0,0,0,0,Abraham Lincoln Birthplace NHP,ABLI,National Historical Park,Southeast ,KY,2001,"229,675",0,"229,675",0,0,0,0,0,0,0,0
Abraham Lincoln Birthplace NHP,ABLI,National Historical Park,Southeast ,KY,2001,7,"35,143",0,"35,143",0,0,0,0,0,0,0,0,Abraham Lincoln Birthplace NHP,ABLI,National Historical Park,Southeast ,KY,2001,"229,675",0,"229,675",0,0,0,0,0,0,0,0
Abraham Lincoln Birthplace NHP,ABLI,National Historical Park,Southeast ,KY,2001,8,"33,524",0,"33,524",0,0,0,0,0,0,0,0,Abraham Lincoln Birthplace NHP,ABLI,National Historical Park,Southeast ,KY,2001,"229,675",0,"229,675",0,0,0,0,0,0,0,0
Abraham Lincoln Birthplace NHP,ABLI,National Historical Park,Southeast ,KY,2001,9,"22,230",0,"22,230",0,0,0,0,0,0,0,0,Abraham Lincoln Birthplace NHP,ABLI,National Historical Park,Southeast ,KY,2001,"229,675",0,"229,675",0,0,0,0,0,0,0,0
Abraham Lincoln Birthplace NHP,ABLI,National Historical Park,Southeast ,KY,2001,10,"17,642",0,"17,642",0,0,0,0,0,0,0,0,Abraham Lincoln Birthplace NHP,ABLI,National Historical Park,Southeast ,KY,2001,"229,675",0,"229,675",0,0,0,0,0,0,0,0
Abraham Lincoln Birthplace NHP,ABLI,National Historical Park,Southeast ,KY,2001,11,"11,458",0,"11,458",0,0,0,0,0,0,0,0,Abraham Lincoln Birthplace NHP,ABLI,National Historical Park,Southeast ,KY,2001,"229,675",0,"229,675",0,0,0,0,0,0,0,0
Abraham Lincoln Birthplace NHP,ABLI,National Historical Park,Southeast ,KY,2001,12,"6,725",0,"6,725",0,0,0,0,0,0,0,0,Abraham Lincoln Birthplace NHP,ABLI,National Historical Park,Southeast ,KY,2001,"229,675",0,"229,675",0,0,0,0,0,0,0,0
Acadia NP,ACAD,National Park,Northeast ,ME,2001,1,"18,090","20,373","119,394","20,373",0,0,57,6,0,0,0,Acadia NP,ACAD,National Park,Northeast ,ME,2001,"2,516,551","252,576","13,467,741","252,576",0,0,"118,545","24,747",0,0,"10,382"
Acadia NP,ACAD,National Park,Northeast ,ME,2001,2,"23,926","19,923","157,911","19,923",0,0,87,15,0,0,0,Acadia NP,ACAD,National Park,Northeast ,ME,2001,"2,516,551","252,576","13,467,741","252,576",0,0,"118,545","24,747",0,0,"10,382"
Acadia NP,ACAD,National Park,Northeast ,ME,2001,3,"35,473","20,373","234,122","20,373",0,0,105,0,0,0,0,Acadia NP,ACAD,National Park,Northeast ,ME,2001,"2,516,551","252,576","13,467,741","252,576",0,0,"118,545","24,747",0,0,"10,382"
Acadia NP,ACAD,National Park,Northeast ,ME,2001,4,"76,007","21,723","440,841","21,723",0,0,"2,088",264,0,0,0,Acadia NP,ACAD,National Park,Northeast ,ME,2001,"2,516,551","252,576","13,467,741","252,576",0,0,"118,545","24,747",0,0,"10,382"
Acadia NP,ACAD,National Park,Northeast ,ME,2001,5,"157,353","21,923","912,647","21,923",0,0,"6,888","1,431",0,0,"1,044",Acadia NP,ACAD,National Park,Northeast ,ME,2001,"2,516,551","252,576","13,467,741","252,576",0,0,"118,545","24,747",0,0,"10,382"
Acadia NP,ACAD,National Park,Northeast ,ME,2001,6,"325,242","21,723","1,886,403","21,723",0,0,"15,564","2,913",0,0,"1,741",Acadia NP,ACAD,National Park,Northeast ,ME,2001,"2,516,551","252,576","13,467,741","252,576",0,0,"118,545","24,747",0,0,"10,382"
Acadia NP,ACAD,National Park,Northeast ,ME,2001,7,"558,641","21,923","2,793,205","21,923",0,0,"32,553","6,522",0,0,"3,397",Acadia NP,ACAD,National Park,Northeast ,ME,2001,"2,516,551","252,576","13,467,741","252,576",0,0,"118,545","24,747",0,0,"10,382"
Acadia NP,ACAD,National Park,Northeast ,ME,2001,8,"630,240","21,923","3,151,200","21,923",0,0,"37,452","6,384",0,0,"2,505",Acadia NP,ACAD,National Park,Northeast ,ME,2001,"2,516,551","252,576","13,467,741","252,576",0,0,"118,545","24,747",0,0,"10,382"
Acadia NP,ACAD,National Park,Northeast ,ME,2001,9,"377,456","21,723","1,887,280","21,723",0,0,"17,712","5,106",0,0,"1,045",Acadia NP,ACAD,National Park,Northeast ,ME,2001,"2,516,551","252,576","13,467,741","252,576",0,0,"118,545","24,747",0,0,"10,382"
Acadia NP,ACAD,National Park,Northeast ,ME,2001,10,"257,280","20,373","1,543,680","20,373",0,0,"5,232","1,950",0,0,650,Acadia NP,ACAD,National Park,Northeast ,ME,2001,"2,516,551","252,576","13,467,741","252,576",0,0,"118,545","24,747",0,0,"10,382"
Acadia NP,ACAD,National Park,Northeast ,ME,2001,11,"41,353","20,223","248,118","20,223",0,0,717,126,0,0,0,Acadia NP,ACAD,National Park,Northeast ,ME,2001,"2,516,551","252,576","13,467,741","252,576",0,0,"118,545","24,747",0,0,"10,382"
Acadia NP,ACAD,National Park,Northeast ,ME,2001,12,"15,490","20,373","92,940","20,373",0,0,90,30,0,0,0,Acadia NP,ACAD,National Park,Northeast ,ME,2001,"2,516,551","252,576","13,467,741","252,576",0,0,"118,545","24,747",0,0,"10,382"
Adams NHP,ADAM,National Historical Park,Northeast ,MA,2001,1,"2,898",69,"1,832",69,0,0,0,0,0,0,0,Adams NHP,ADAM,National Historical Park,Northeast ,MA,2001,"167,500","2,255","151,073","1,130",0,0,0,0,0,0,0
Adams NHP,ADAM,National Historical Park,Northeast ,MA,2001,2,"6,610",80,"2,036",80,0,0,0,0,0,0,0,Adams NHP,ADAM,National Historical Park,Northeast ,MA,2001,"167,500","2,255","151,073","1,130",0,0,0,0,0,0,0
Adams NHP,ADAM,National Historical Park,Northeast ,MA,2001,3,"1,982",77,"1,288",77,0,0,0,0,0,0,0,Adams NHP,ADAM,National Historical Park,Northeast ,MA,2001,"167,500","2,255","151,073","1,130",0,0,0,0,0,0,0
Adams NHP,ADAM,National Historical Park,Northeast ,MA,2001,4,"9,568",262,"9,129",262,0,0,0,0,0,0,0,Adams NHP,ADAM,National Historical Park,Northeast ,MA,2001,"167,500","2,255","151,073","1,130",0,0,0,0,0,0,0
Adams NHP,ADAM,National Historical Park,Northeast ,MA,2001,5,"18,793",325,"17,538",325,0,0,0,0,0,0,0,Adams NHP,ADAM,National Historical Park,Northeast ,MA,2001,"167,500","2,255","151,073","1,130",0,0,0,0,0,0,0
Adams NHP,ADAM,National Historical Park,Northeast ,MA,2001,6,"23,874",594,"22,147",594,0,0,0,0,0,0,0,Adams NHP,ADAM,National Historical Park,Northeast ,MA,2001,"167,500","2,255","151,073","1,130",0,0,0,0,0,0,0
Adams NHP,ADAM,National Historical Park,Northeast ,MA,2001,7,"29,150",184,"28,063",184,0,0,0,0,0,0,0,Adams NHP,ADAM,National Historical Park,Northeast ,MA,2001,"167,500","2,255","151,073","1,130",0,0,0,0,0,0,0
Adams NHP,ADAM,National Historical Park,Northeast ,MA,2001,8,"23,061",160,"22,267",160,0,0,0,0,0,0,0,Adams NHP,ADAM,National Historical Park,Northeast ,MA,2001,"167,500","2,255","151,073","1,130",0,0,0,0,0,0,0
Adams NHP,ADAM,National Historical Park,Northeast ,MA,2001,9,"16,519",132,"15,986",132,0,0,0,0,0,0,0,Adams NHP,ADAM,National Historical Park,Northeast ,MA,2001,"167,500","2,255","151,073","1,130",0,0,0,0,0,0,0
Adams NHP,ADAM,National Historical Park,Northeast ,MA,2001,10,"19,630",133,"18,571",133,0,0,0,0,0,0,0,Adams NHP,ADAM,National Historical Park,Northeast ,MA,2001,"167,500","2,255","151,073","1,130",0,0,0,0,0,0,0
Adams NHP,ADAM,National Historical Park,Northeast ,MA,2001,11,"8,724",129,"8,356",129,0,0,0,0,0,0,0,Adams NHP,ADAM,National Historical Park,Northeast ,MA,2001,"167,500","2,255","151,073","1,130",0,0,0,0,0,0,0
Adams NHP,ADAM,National Historical Park,Northeast ,MA,2001,12,"6,691",110,"3,860",110,0,0,0,0,0,0,0,Adams NHP,ADAM,National Historical Park,Northeast ,MA,2001,"167,500","2,255","151,073","1,130",0,0,0,0,0,0,0
Agate Fossil Beds NM,AGFO,National Monument,Midwest ,NE,2001,1,147,0,274,0,0,0,0,0,0,0,0,Agate Fossil Beds NM,AGFO,National Monument,Midwest ,NE,2001,"17,399",0,"42,226",0,0,0,0,0,0,0,0
Agate Fossil Beds NM,AGFO,National Monument,Midwest ,NE,2001,2,134,0,208,0,0,0,0,0,0,0,0,Agate Fossil Beds NM,AGFO,National Monument,Midwest ,NE,2001,"17,399",0,"42,226",0,0,0,0,0,0,0,0
Agate Fossil Beds NM,AGFO,National Monument,Midwest ,NE,2001,3,319,0,704,0,0,0,0,0,0,0,0,Agate Fossil Beds NM,AGFO,National Monument,Midwest ,NE,2001,"17,399",0,"42,226",0,0,0,0,0,0,0,0
Agate Fossil Beds NM,AGFO,National Monument,Midwest ,NE,2001,4,848,0,"2,090",0,0,0,0,0,0,0,0,Agate Fossil Beds NM,AGFO,National Monument,Midwest ,NE,2001,"17,399",0,"42,226",0,0,0,0,0,0,0,0
Agate Fossil Beds NM,AGFO,National Monument,Midwest ,NE,2001,5,"1,969",0,"4,957",0,0,0,0,0,0,0,0,Agate Fossil Beds NM,AGFO,National Monument,Midwest ,NE,2001,"17,399",0,"42,226",0,0,0,0,0,0,0,0
Agate Fossil Beds NM,AGFO,National Monument,Midwest ,NE,2001,6,"3,237",0,"8,032",0,0,0,0,0,0,0,0,Agate Fossil Beds NM,AGFO,National Monument,Midwest ,NE,2001,"17,399",0,"42,226",0,0,0,0,0,0,0,0
Agate Fossil Beds NM,AGFO,National Monument,Midwest ,NE,2001,7,"3,929",0,"9,734",0,0,0,0,0,0,0,0,Agate Fossil Beds NM,AGFO,National Monument,Midwest ,NE,2001,"17,399",0,"42,226",0,0,0,0,0,0,0,0
Agate Fossil Beds NM,AGFO,National Monument,Midwest ,NE,2001,8,"3,203",0,"7,650",0,0,0,0,0,0,0,0,Agate Fossil Beds NM,AGFO,National Monument,Midwest ,NE,2001,"17,399",0,"42,226",0,0,0,0,0,0,0,0
Agate Fossil Beds NM,AGFO,National Monument,Midwest ,NE,2001,9,"1,931",0,"4,877",0,0,0,0,0,0,0,0,Agate Fossil Beds NM,AGFO,National Monument,Midwest ,NE,2001,"17,399",0,"42,226",0,0,0,0,0,0,0,0
