ParkName,UnitCode,ParkType,Region,State,Year,Month,RecreationVisits,NonRecreationVisits,RecreationHours,NonRecreationHours,ConcessionerLodging,ConcessionerCamping,TentCampers,RVCampers,Backcountry,NonRecreationOvernightStays,MiscellaneousOvernightStays,ParkNameTotal,UnitCodeTotal,ParkTypeTotal,RegionTotal,StateTotal,YearTotal,RecreationVisitsTotal,NonRecreationVisitsTotal,RecreationHoursTotal,NonRecreationHoursTotal,ConcessionerLodgingTotal,ConcessionerCampingTotal,TentCampersTotal,RVCampersTotal,BackcountryTotal,NonRecreationOvernightStaysTotal,MiscellaneousOvernightStaysTotal
Abraham Lincoln Birthplace NHP,ABLI,National Historical Park,Southeast ,KY,2008,1,"5,829",0,"5,829",0,0,0,0,0,0,0,0,Abraham Lincoln Birthplace NHP,ABLI,National Historical Park,Southeast ,KY,2008,"200,404",0,"200,404",0,0,0,0,0,0,0,0
Abraham Lincoln Birthplace NHP,ABLI,National Historical Park,Southeast ,KY,2008,2,"6,911",0,"6,911",0,0,0,0,0,0,0,0,Abraham Lincoln Birthplace NHP,ABLI,National Historical Park,Southeast ,KY,2008,"200,404",0,"200,404",0,0,0,0,0,0,0,0
Abraham Lincoln Birthplace NHP,ABLI,National Historical Park,Southeast ,KY,2008,3,"10,720",0,"10,720",0,0,0,0,0,0,0,0,Abraham Lincoln Birthplace NHP,ABLI,National Historical Park,Southeast ,KY,2008,"200,404",0,"200,404",0,0,0,0,0,0,0,0
Abraham Lincoln Birthplace NHP,ABLI,National Historical Park,Southeast ,KY,2008,4,"17,829",0,"17,829",0,0,0,0,0,0,0,0,Abraham Lincoln Birthplace NHP,ABLI,National Historical Park,Southeast ,KY,2008,"200,404",0,"200,404",0,0,0,0,0,0,0,0
Abraham Lincoln Birthplace NHP,ABLI,National Historical Park,Southeast ,KY,2008,5,"26,295",0,"26,295",0,0,0,0,0,0,0,0,Abraham Lincoln Birthplace NHP,ABLI,National Historical Park,Southeast ,KY,2008,"200,404",0,"200,404",0,0,0,0,0,0,0,0
Abraham Lincoln Birthplace NHP,ABLI,National Historical Park,Southeast ,KY,2008,6,"33,817",0,"33,817",0,0,0,0,0,0,0,0,Abraham Lincoln Birthplace NHP,ABLI,National Historical Park,Southeast ,KY,2008,"200,404",0,"200,404",0,0,0,0,0,0,0,0
Abraham Lincoln Birthplace NHP,ABLI,National Historical Park,Southeast ,KY,2008,7,"29,225",0,"29,225",0,0,0,0,0,0,0,0,Abraham Lincoln Birthplace NHP,ABLI,National Historical Park,Southeast ,KY,2008,"200,404",0,"200,404",0,0,0,0,0,0,0,0
Abraham Lincoln Birthplace NHP,ABLI,National Historical Park,Southeast ,KY,2008,8,"22,166",0,"22,166",0,0,0,0,0,0,0,0,Abraham Lincoln Birthplace NHP,ABLI,National Historical Park,Southeast ,KY,2008,"200,404",0,"200,404",0,0,0,0,0,0,0,0
Abraham Lincoln Birthplace NHP,ABLI,National Historical Park,Southeast ,KY,2008,9,"21,765",0,"21,765",0,0,0,0,0,0,0,0,Abraham Lincoln Birthplace NHP,ABLI,National Historical Park,Southeast ,KY,2008,"200,404",0,"200,404",0,0,0,0,0,0,0,0
Abraham Lincoln Birthplace NHP,ABLI,National Historical Park,Southeast ,KY,2008,10,"13,747",0,"13,747",0,0,0,0,0,0,0,0,Abraham Lincoln Birthplace NHP,ABLI,National Historical Park,Southeast ,KY,2008,"200,404",0,"200,404",0,0,0,0,0,0,0,0
Abraham Lincoln Birthplace NHP,ABLI,National Historical Park,Southeast ,KY,2008,11,"8,013",0,"8,013",0,0,0,0,0,0,0,0,Abraham Lincoln Birthplace NHP,ABLI,National Historical Park,Southeast ,KY,2008,"200,404",0,"200,404",0,0,0,0,0,0,0,0
Abraham Lincoln Birthplace NHP,ABLI,National Historical Park,Southeast ,KY,2008,12,"4,087",0,"4,087",0,0,0,0,0,0,0,0,Abraham Lincoln Birthplace NHP,ABLI,National Historical Park,Southeast ,KY,2008,"200,404",0,"200,404",0,0,0,0,0,0,0,0
Acadia NP,ACAD,National Park,Northeast ,ME,2008,1,"10,744",600,"70,910",600,0,0,0,0,0,0,0,Acadia NP,ACAD,National Park,Northeast ,ME,2008,"2,075,857","47,100","10,635,395","47,100",0,0,"101,028","21,198","1,229",0,"6,698"
Acadia NP,ACAD,National Park,Northeast ,ME,2008,2,"11,131",600,"73,463",600,0,0,0,0,0,0,0,Acadia NP,ACAD,National Park,Northeast ,ME,2008,"2,075,857","47,100","10,635,395","47,100",0,0,"101,028","21,198","1,229",0,"6,698"
Acadia NP,ACAD,National Park,Northeast ,ME,2008,3,"17,489",600,"115,426",600,0,0,0,0,0,0,0,Acadia NP,ACAD,National Park,Northeast ,ME,2008,"2,075,857","47,100","10,635,395","47,100",0,0,"101,028","21,198","1,229",0,"6,698"
Acadia NP,ACAD,National Park,Northeast ,ME,2008,4,"53,798",600,"312,027",600,0,0,0,0,0,0,0,Acadia NP,ACAD,National Park,Northeast ,ME,2008,"2,075,857","47,100","10,635,395","47,100",0,0,"101,028","21,198","1,229",0,"6,698"
Acadia NP,ACAD,National Park,Northeast ,ME,2008,5,"125,679","7,500","720,213","7,500",0,0,"5,328",927,53,0,358,Acadia NP,ACAD,National Park,Northeast ,ME,2008,"2,075,857","47,100","10,635,395","47,100",0,0,"101,028","21,198","1,229",0,"6,698"
Acadia NP,ACAD,National Park,Northeast ,ME,2008,6,"263,542","7,500","1,506,391","7,500",0,0,"13,242","3,138",171,0,"1,269",Acadia NP,ACAD,National Park,Northeast ,ME,2008,"2,075,857","47,100","10,635,395","47,100",0,0,"101,028","21,198","1,229",0,"6,698"
Acadia NP,ACAD,National Park,Northeast ,ME,2008,7,"470,295","7,500","2,304,254","7,500",0,0,"30,990","4,668",389,0,"2,207",Acadia NP,ACAD,National Park,Northeast ,ME,2008,"2,075,857","47,100","10,635,395","47,100",0,0,"101,028","21,198","1,229",0,"6,698"
Acadia NP,ACAD,National Park,Northeast ,ME,2008,8,"514,443","7,500","2,503,350","7,500",0,0,"34,911","6,051",369,0,"2,114",Acadia NP,ACAD,National Park,Northeast ,ME,2008,"2,075,857","47,100","10,635,395","47,100",0,0,"101,028","21,198","1,229",0,"6,698"
Acadia NP,ACAD,National Park,Northeast ,ME,2008,9,"319,582","7,500","1,469,491","7,500",0,0,"11,214","4,680",125,0,577,Acadia NP,ACAD,National Park,Northeast ,ME,2008,"2,075,857","47,100","10,635,395","47,100",0,0,"101,028","21,198","1,229",0,"6,698"
Acadia NP,ACAD,National Park,Northeast ,ME,2008,10,"246,533","6,000","1,304,145","6,000",0,0,"5,343","1,734",122,0,173,Acadia NP,ACAD,National Park,Northeast ,ME,2008,"2,075,857","47,100","10,635,395","47,100",0,0,"101,028","21,198","1,229",0,"6,698"
Acadia NP,ACAD,National Park,Northeast ,ME,2008,11,"32,759",600,"196,553",600,0,0,0,0,0,0,0,Acadia NP,ACAD,National Park,Northeast ,ME,2008,"2,075,857","47,100","10,635,395","47,100",0,0,"101,028","21,198","1,229",0,"6,698"
Acadia NP,ACAD,National Park,Northeast ,ME,2008,12,"9,862",600,"59,172",600,0,0,0,0,0,0,0,Acadia NP,ACAD,National Park,Northeast ,ME,2008,"2,075,857","47,100","10,635,395","47,100",0,0,"101,028","21,198","1,229",0,"6,698"
Adams NHP,ADAM,National Historical Park,Northeast ,MA,2008,1,"2,830",173,"1,751",173,0,0,0,0,0,0,0,Adams NHP,ADAM,National Historical Park,Northeast ,MA,2008,"241,536","3,598","218,668","1,801",0,0,0,0,0,0,0
Adams NHP,ADAM,National Historical Park,Northeast ,MA,2008,2,"4,193",190,"2,198",190,0,0,0,0,0,0,0,Adams NHP,ADAM,National Historical Park,Northeast ,MA,2008,"241,536","3,598","218,668","1,801",0,0,0,0,0,0,0
Adams NHP,ADAM,National Historical Park,Northeast ,MA,2008,3,"4,988",160,"3,718",160,0,0,0,0,0,0,0,Adams NHP,ADAM,National Historical Park,Northeast ,MA,2008,"241,536","3,598","218,668","1,801",0,0,0,0,0,0,0
Adams NHP,ADAM,National Historical Park,Northeast ,MA,2008,4,"18,180",85,"15,938",85,0,0,0,0,0,0,0,Adams NHP,ADAM,National Historical Park,Northeast ,MA,2008,"241,536","3,598","218,668","1,801",0,0,0,0,0,0,0
Adams NHP,ADAM,National Historical Park,Northeast ,MA,2008,5,"28,095",218,"25,247",218,0,0,0,0,0,0,0,Adams NHP,ADAM,National Historical Park,Northeast ,MA,2008,"241,536","3,598","218,668","1,801",0,0,0,0,0,0,0
Adams NHP,ADAM,National Historical Park,Northeast ,MA,2008,6,"39,967",350,"36,433",350,0,0,0,0,0,0,0,Adams NHP,ADAM,National Historical Park,Northeast ,MA,2008,"241,536","3,598","218,668","1,801",0,0,0,0,0,0,0
Adams NHP,ADAM,National Historical Park,Northeast ,MA,2008,7,"46,898",375,"42,166",375,0,0,0,0,0,0,0,Adams NHP,ADAM,National Historical Park,Northeast ,MA,2008,"241,536","3,598","218,668","1,801",0,0,0,0,0,0,0
Adams NHP,ADAM,National Historical Park,Northeast ,MA,2008,8,"35,725",232,"33,906",232,0,0,0,0,0,0,0,Adams NHP,ADAM,National Historical Park,Northeast ,MA,2008,"241,536","3,598","218,668","1,801",0,0,0,0,0,0,0
Adams NHP,ADAM,National Historical Park,Northeast ,MA,2008,9,"27,429",565,"25,922",565,0,0,0,0,0,0,0,Adams NHP,ADAM,National Historical Park,Northeast ,MA,2008,"241,536","3,598","218,668","1,801",0,0,0,0,0,0,0
