ParkName,UnitCode,ParkType,Region,State,Year,Month,RecreationVisits,NonRecreationVisits,RecreationHours,NonRecreationHours,ConcessionerLodging,ConcessionerCamping,TentCampers,RVCampers,Backcountry,NonRecreationOvernightStays,MiscellaneousOvernightStays,ParkNameTotal,UnitCodeTotal,ParkTypeTotal,RegionTotal,StateTotal,YearTotal,RecreationVisitsTotal,NonRecreationVisitsTotal,RecreationHoursTotal,NonRecreationHoursTotal,ConcessionerLodgingTotal,ConcessionerCampingTotal,TentCampersTotal,RVCampersTotal,BackcountryTotal,NonRecreationOvernightStaysTotal,MiscellaneousOvernightStaysTotal
Abraham Lincoln Birthplace NHP,ABLI,National Historical Park,Southeast ,KY,2004,1,"4,438",0,"4,438",0,0,0,0,0,0,0,0,Abraham Lincoln Birthplace NHP,ABLI,National Historical Park,Southeast ,KY,2004,"201,828",0,"201,828",0,0,0,0,0,0,0,0
Abraham Lincoln Birthplace NHP,ABLI,National Historical Park,Southeast ,KY,2004,2,"6,929",0,"6,929",0,0,0,0,0,0,0,0,Abraham Lincoln Birthplace NHP,ABLI,National Historical Park,Southeast ,KY,2004,"201,828",0,"201,828",0,0,0,0,0,0,0,0
Abraham Lincoln Birthplace NHP,ABLI,National Historical Park,Southeast ,KY,2004,3,"11,008",0,"11,008",0,0,0,0,0,0,0,0,Abraham Lincoln Birthplace NHP,ABLI,National Historical Park,Southeast ,KY,2004,"201,828",0,"201,828",0,0,0,0,0,0,0,0
Abraham Lincoln Birthplace NHP,ABLI,National Historical Park,Southeast ,KY,2004,4,"20,939",0,"20,939",0,0,0,0,0,0,0,0,Abraham Lincoln Birthplace NHP,ABLI,National Historical Park,Southeast ,KY,2004,"201,828",0,"201,828",0,0,0,0,0,0,0,0
Abraham Lincoln Birthplace NHP,ABLI,National Historical Park,Southeast ,KY,2004,5,"22,311",0,"22,311",0,0,0,0,0,0,0,0,Abraham Lincoln Birthplace NHP,ABLI,National Historical Park,Southeast ,KY,2004,"201,828",0,"201,828",0,0,0,0,0,0,0,0
Abraham Lincoln Birthplace NHP,ABLI,National Historical Park,Southeast ,KY,2004,6,"28,656",0,"28,656",0,0,0,0,0,0,0,0,Abraham Lincoln Birthplace NHP,ABLI,National Historical Park,Southeast ,KY,2004,"201,828",0,"201,828",0,0,0,0,0,0,0,0
Abraham Lincoln Birthplace NHP,ABLI,National Historical Park,Southeast ,KY,2004,7,"29,358",0,"29,358",0,0,0,0,0,0,0,0,Abraham Lincoln Birthplace NHP,ABLI,National Historical Park,Southeast ,KY,2004,"201,828",0,"201,828",0,0,0,0,0,0,0,0
Abraham Lincoln Birthplace NHP,ABLI,National Historical Park,Southeast ,KY,2004,8,"25,318",0,"25,318",0,0,0,0,0,0,0,0,Abraham Lincoln Birthplace NHP,ABLI,National Historical Park,Southeast ,KY,2004,"201,828",0,"201,828",0,0,0,0,0,0,0,0
Abraham Lincoln Birthplace NHP,ABLI,National Historical Park,Southeast ,KY,2004,9,"22,419",0,"22,419",0,0,0,0,0,0,0,0,Abraham Lincoln Birthplace NHP,ABLI,National Historical Park,Southeast ,KY,2004,"201,828",0,"201,828",0,0,0,0,0,0,0,0
Abraham Lincoln Birthplace NHP,ABLI,National Historical Park,Southeast ,KY,2004,10,"14,230",0,"14,230",0,0,0,0,0,0,0,0,Abraham Lincoln Birthplace NHP,ABLI,National Historical Park,Southeast ,KY,2004,"201,828",0,"201,828",0,0,0,0,0,0,0,0
Abraham Lincoln Birthplace NHP,ABLI,National Historical Park,Southeast ,KY,2004,11,"8,210",0,"8,210",0,0,0,0,0,0,0,0,Abraham Lincoln Birthplace NHP,ABLI,National Historical Park,Southeast ,KY,2004,"201,828",0,"201,828",0,0,0,0,0,0,0,0
Abraham Lincoln Birthplace NHP,ABLI,National Historical Park,Southeast ,KY,2004,12,"8,012",0,"8,012",0,0,0,0,0,0,0,0,Abraham Lincoln Birthplace NHP,ABLI,National Historical Park,Southeast ,KY,2004,"201,828",0,"201,828",0,0,0,0,0,0,0,0
Acadia NP,ACAD,National Park,Northeast ,ME,2004,1,"11,861",0,"78,283",0,0,0,21,0,0,0,0,Acadia NP,ACAD,National Park,Northeast ,ME,2004,"2,207,847","34,500","11,822,104","34,500",0,0,"101,577","19,878",0,0,"8,618"
Acadia NP,ACAD,National Park,Northeast ,ME,2004,2,"14,266",0,"94,153",0,0,0,18,0,0,0,0,Acadia NP,ACAD,National Park,Northeast ,ME,2004,"2,207,847","34,500","11,822,104","34,500",0,0,"101,577","19,878",0,0,"8,618"
Acadia NP,ACAD,National Park,Northeast ,ME,2004,3,"20,952",0,"138,283",0,0,0,0,0,0,0,0,Acadia NP,ACAD,National Park,Northeast ,ME,2004,"2,207,847","34,500","11,822,104","34,500",0,0,"101,577","19,878",0,0,"8,618"
Acadia NP,ACAD,National Park,Northeast ,ME,2004,4,"60,180",0,"349,046",0,0,0,"5,490",909,0,0,892,Acadia NP,ACAD,National Park,Northeast ,ME,2004,"2,207,847","34,500","11,822,104","34,500",0,0,"101,577","19,878",0,0,"8,618"
Acadia NP,ACAD,National Park,Northeast ,ME,2004,5,"134,597","6,000","780,661","6,000",0,0,57,0,0,0,0,Acadia NP,ACAD,National Park,Northeast ,ME,2004,"2,207,847","34,500","11,822,104","34,500",0,0,"101,577","19,878",0,0,"8,618"
Acadia NP,ACAD,National Park,Northeast ,ME,2004,6,"305,134","6,000","1,769,774","6,000",0,0,"13,683","2,859",0,0,"1,426",Acadia NP,ACAD,National Park,Northeast ,ME,2004,"2,207,847","34,500","11,822,104","34,500",0,0,"101,577","19,878",0,0,"8,618"
