ParkName,UnitCode,ParkType,Region,State,Year,Month,RecreationVisits,NonRecreationVisits,RecreationHours,NonRecreationHours,ConcessionerLodging,ConcessionerCamping,TentCampers,RVCampers,Backcountry,NonRecreationOvernightStays,MiscellaneousOvernightStays,ParkNameTotal,UnitCodeTotal,ParkTypeTotal,RegionTotal,StateTotal,YearTotal,RecreationVisitsTotal,NonRecreationVisitsTotal,RecreationHoursTotal,NonRecreationHoursTotal,ConcessionerLodgingTotal,ConcessionerCampingTotal,TentCampersTotal,RVCampersTotal,BackcountryTotal,NonRecreationOvernightStaysTotal,MiscellaneousOvernightStaysTotal
Abraham Lincoln Birthplace NHP,ABLI,National Historical Park,Southeast ,KY,1998,1,"5,468",0,"5,468",0,0,0,0,0,0,0,0,Abraham Lincoln Birthplace NHP,ABLI,National Historical Park,Southeast ,KY,1998,"250,842",0,"250,842",0,0,0,0,0,0,0,0
Abraham Lincoln Birthplace NHP,ABLI,National Historical Park,Southeast ,KY,1998,2,"6,131",0,"6,131",0,0,0,0,0,0,0,0,Abraham Lincoln Birthplace NHP,ABLI,National Historical Park,Southeast ,KY,1998,"250,842",0,"250,842",0,0,0,0,0,0,0,0
Abraham Lincoln Birthplace NHP,ABLI,National Historical Park,Southeast ,KY,1998,3,"10,812",0,"10,812",0,0,0,0,0,0,0,0,Abraham Lincoln Birthplace NHP,ABLI,National Historical Park,Southeast ,KY,1998,"250,842",0,"250,842",0,0,0,0,0,0,0,0
Abraham Lincoln Birthplace NHP,ABLI,National Historical Park,Southeast ,KY,1998,4,"22,057",0,"22,057",0,0,0,0,0,0,0,0,Abraham Lincoln Birthplace NHP,ABLI,National Historical Park,Southeast ,KY,1998,"250,842",0,"250,842",0,0,0,0,0,0,0,0
Abraham Lincoln Birthplace NHP,ABLI,National Historical Park,Southeast ,KY,1998,5,"26,859",0,"26,859",0,0,0,0,0,0,0,0,Abraham Lincoln Birthplace NHP,ABLI,National Historical Park,Southeast ,KY,1998,"250,842",0,"250,842",0,0,0,0,0,0,0,0
Abraham Lincoln Birthplace NHP,ABLI,National Historical Park,Southeast ,KY,1998,6,"34,578",0,"34,578",0,0,0,0,0,0,0,0,Abraham Lincoln Birthplace NHP,ABLI,National Historical Park,Southeast ,KY,1998,"250,842",0,"250,842",0,0,0,0,0,0,0,0
Abraham Lincoln Birthplace NHP,ABLI,National Historical Park,Southeast ,KY,1998,7,"41,358",0,"41,358",0,0,0,0,0,0,0,0,Abraham Lincoln Birthplace NHP,ABLI,National Historical Park,Southeast ,KY,1998,"250,842",0,"250,842",0,0,0,0,0,0,0,0
Abraham Lincoln Birthplace NHP,ABLI,National Historical Park,Southeast ,KY,1998,8,"44,322",0,"44,322",0,0,0,0,0,0,0,0,Abraham Lincoln Birthplace NHP,ABLI,National Historical Park,Southeast ,KY,1998,"250,842",0,"250,842",0,0,0,0,0,0,0,0
Abraham Lincoln Birthplace NHP,ABLI,National Historical Park,Southeast ,KY,1998,9,"27,471",0,"27,471",0,0,0,0,0,0,0,0,Abraham Lincoln Birthplace NHP,ABLI,National Historical Park,Southeast ,KY,1998,"250,842",0,"250,842",0,0,0,0,0,0,0,0
Abraham Lincoln Birthplace NHP,ABLI,National Historical Park,Southeast ,KY,1998,10,"17,859",0,"17,859",0,0,0,0,0,0,0,0,Abraham Lincoln Birthplace NHP,ABLI,National Historical Park,Southeast ,KY,1998,"250,842",0,"250,842",0,0,0,0,0,0,0,0
Abraham Lincoln Birthplace NHP,ABLI,National Historical Park,Southeast ,KY,1998,11,"8,944",0,"8,944",0,0,0,0,0,0,0,0,Abraham Lincoln Birthplace NHP,ABLI,National Historical Park,Southeast ,KY,1998,"250,842",0,"250,842",0,0,0,0,0,0,0,0
Abraham Lincoln Birthplace NHP,ABLI,National Historical Park,Southeast ,KY,1998,12,"4,983",0,"4,983",0,0,0,0,0,0,0,0,Abraham Lincoln Birthplace NHP,ABLI,National Historical Park,Southeast ,KY,1998,"250,842",0,"250,842",0,0,0,0,0,0,0,0
Acadia NP,ACAD,National Park,Northeast ,ME,1998,1,"16,726","20,373","110,392","20,373",0,0,72,0,0,0,0,Acadia NP,ACAD,National Park,Northeast ,ME,1998,"2,594,497","252,576","13,838,352","252,576",0,0,"135,507","23,544",0,0,"11,111"
Acadia NP,ACAD,National Park,Northeast ,ME,1998,2,"17,028","19,923","112,385","19,923",0,0,57,6,0,0,0,Acadia NP,ACAD,National Park,Northeast ,ME,1998,"2,594,497","252,576","13,838,352","252,576",0,0,"135,507","23,544",0,0,"11,111"
Acadia NP,ACAD,National Park,Northeast ,ME,1998,3,"27,500","20,373","181,500","20,373",0,0,234,3,0,0,0,Acadia NP,ACAD,National Park,Northeast ,ME,1998,"2,594,497","252,576","13,838,352","252,576",0,0,"135,507","23,544",0,0,"11,111"
