ParkName,UnitCode,ParkType,Region,State,Year,Month,RecreationVisits,NonRecreationVisits,RecreationHours,NonRecreationHours,ConcessionerLodging,ConcessionerCamping,TentCampers,RVCampers,Backcountry,NonRecreationOvernightStays,MiscellaneousOvernightStays,ParkNameTotal,UnitCodeTotal,ParkTypeTotal,RegionTotal,StateTotal,YearTotal,RecreationVisitsTotal,NonRecreationVisitsTotal,RecreationHoursTotal,NonRecreationHoursTotal,ConcessionerLodgingTotal,ConcessionerCampingTotal,TentCampersTotal,RVCampersTotal,BackcountryTotal,NonRecreationOvernightStaysTotal,MiscellaneousOvernightStaysTotal
Abraham Lincoln Birthplace NHP,ABLI,National Historical Park,Southeast ,KY,1992,1,"5,796",0,"5,796",0,0,0,0,0,0,0,0,Abraham Lincoln Birthplace NHP,ABLI,National Historical Park,Southeast ,KY,1992,"302,739",0,"302,739",0,0,0,0,0,0,0,0
Abraham Lincoln Birthplace NHP,ABLI,National Historical Park,Southeast ,KY,1992,2,"9,402",0,"9,402",0,0,0,0,0,0,0,0,Abraham Lincoln Birthplace NHP,ABLI,National Historical Park,Southeast ,KY,1992,"302,739",0,"302,739",0,0,0,0,0,0,0,0
Abraham Lincoln Birthplace NHP,ABLI,National Historical Park,Southeast ,KY,1992,3,"13,529",0,"13,529",0,0,0,0,0,0,0,0,Abraham Lincoln Birthplace NHP,ABLI,National Historical Park,Southeast ,KY,1992,"302,739",0,"302,739",0,0,0,0,0,0,0,0
Abraham Lincoln Birthplace NHP,ABLI,National Historical Park,Southeast ,KY,1992,4,"23,709",0,"23,709",0,0,0,0,0,0,0,0,Abraham Lincoln Birthplace NHP,ABLI,National Historical Park,Southeast ,KY,1992,"302,739",0,"302,739",0,0,0,0,0,0,0,0
Abraham Lincoln Birthplace NHP,ABLI,National Historical Park,Southeast ,KY,1992,5,"33,661",0,"33,661",0,0,0,0,0,0,0,0,Abraham Lincoln Birthplace NHP,ABLI,National Historical Park,Southeast ,KY,1992,"302,739",0,"302,739",0,0,0,0,0,0,0,0
Abraham Lincoln Birthplace NHP,ABLI,National Historical Park,Southeast ,KY,1992,6,"43,937",0,"43,937",0,0,0,0,0,0,0,0,Abraham Lincoln Birthplace NHP,ABLI,National Historical Park,Southeast ,KY,1992,"302,739",0,"302,739",0,0,0,0,0,0,0,0
Abraham Lincoln Birthplace NHP,ABLI,National Historical Park,Southeast ,KY,1992,7,"53,386",0,"53,386",0,0,0,0,0,0,0,0,Abraham Lincoln Birthplace NHP,ABLI,National Historical Park,Southeast ,KY,1992,"302,739",0,"302,739",0,0,0,0,0,0,0,0
Abraham Lincoln Birthplace NHP,ABLI,National Historical Park,Southeast ,KY,1992,8,"45,547",0,"45,547",0,0,0,0,0,0,0,0,Abraham Lincoln Birthplace NHP,ABLI,National Historical Park,Southeast ,KY,1992,"302,739",0,"302,739",0,0,0,0,0,0,0,0
Abraham Lincoln Birthplace NHP,ABLI,National Historical Park,Southeast ,KY,1992,9,"31,647",0,"31,647",0,0,0,0,0,0,0,0,Abraham Lincoln Birthplace NHP,ABLI,National Historical Park,Southeast ,KY,1992,"302,739",0,"302,739",0,0,0,0,0,0,0,0
Abraham Lincoln Birthplace NHP,ABLI,National Historical Park,Southeast ,KY,1992,10,"24,843",0,"24,843",0,0,0,0,0,0,0,0,Abraham Lincoln Birthplace NHP,ABLI,National Historical Park,Southeast ,KY,1992,"302,739",0,"302,739",0,0,0,0,0,0,0,0
Abraham Lincoln Birthplace NHP,ABLI,National Historical Park,Southeast ,KY,1992,11,"10,245",0,"10,245",0,0,0,0,0,0,0,0,Abraham Lincoln Birthplace NHP,ABLI,National Historical Park,Southeast ,KY,1992,"302,739",0,"302,739",0,0,0,0,0,0,0,0
Abraham Lincoln Birthplace NHP,ABLI,National Historical Park,Southeast ,KY,1992,12,"7,037",0,"7,037",0,0,0,0,0,0,0,0,Abraham Lincoln Birthplace NHP,ABLI,National Historical Park,Southeast ,KY,1992,"302,739",0,"302,739",0,0,0,0,0,0,0,0
Acadia NP,ACAD,National Park,Northeast ,ME,1992,1,"17,510","20,373","115,566","20,373",0,0,99,0,0,0,0,Acadia NP,ACAD,National Park,Northeast ,ME,1992,"2,382,113","252,576","12,689,318","252,576",0,0,"128,478","31,437",0,0,"9,796"
Acadia NP,ACAD,National Park,Northeast ,ME,1992,2,"21,110","19,923","139,326","19,923",0,0,78,0,0,0,0,Acadia NP,ACAD,National Park,Northeast ,ME,1992,"2,382,113","252,576","12,689,318","252,576",0,0,"128,478","31,437",0,0,"9,796"
Acadia NP,ACAD,National Park,Northeast ,ME,1992,3,"30,312","20,373","200,060","20,373",0,0,270,36,0,0,0,Acadia NP,ACAD,National Park,Northeast ,ME,1992,"2,382,113","252,576","12,689,318","252,576",0,0,"128,478","31,437",0,0,"9,796"
Acadia NP,ACAD,National Park,Northeast ,ME,1992,4,"63,276","21,723","367,001","21,723",0,0,"1,473",174,0,0,0,Acadia NP,ACAD,National Park,Northeast ,ME,1992,"2,382,113","252,576","12,689,318","252,576",0,0,"128,478","31,437",0,0,"9,796"
Acadia NP,ACAD,National Park,Northeast ,ME,1992,5,"164,400","21,923","953,519","21,923",0,0,"8,334","1,398",0,0,729,Acadia NP,ACAD,National Park,Northeast ,ME,1992,"2,382,113","252,576","12,689,318","252,576",0,0,"128,478","31,437",0,0,"9,796"
Acadia NP,ACAD,National Park,Northeast ,ME,1992,6,"262,173","21,723","1,520,604","21,723",0,0,"17,184","4,494",0,0,"1,464",Acadia NP,ACAD,National Park,Northeast ,ME,1992,"2,382,113","252,576","12,689,318","252,576",0,0,"128,478","31,437",0,0,"9,796"
Acadia NP,ACAD,National Park,Northeast ,ME,1992,7,"539,109","21,923","2,695,545","21,923",0,0,"37,197","7,410",0,0,"3,476",Acadia NP,ACAD,National Park,Northeast ,ME,1992,"2,382,113","252,576","12,689,318","252,576",0,0,"128,478","31,437",0,0,"9,796"
Acadia NP,ACAD,National Park,Northeast ,ME,1992,8,"615,843","21,923","3,079,215","21,923",0,0,"38,607","7,203",0,0,"2,744",Acadia NP,ACAD,National Park,Northeast ,ME,1992,"2,382,113","252,576","12,689,318","252,576",0,0,"128,478","31,437",0,0,"9,796"
Acadia NP,ACAD,National Park,Northeast ,ME,1992,9,"391,798","21,723","1,958,990","21,723",0,0,"20,220","7,677",0,0,"1,167",Acadia NP,ACAD,National Park,Northeast ,ME,1992,"2,382,113","252,576","12,689,318","252,576",0,0,"128,478","31,437",0,0,"9,796"
Acadia NP,ACAD,National Park,Northeast ,ME,1992,10,"211,573","20,373","1,269,438","20,373",0,0,"4,584","2,868",0,0,216,Acadia NP,ACAD,National Park,Northeast ,ME,1992,"2,382,113","252,576","12,689,318","252,576",0,0,"128,478","31,437",0,0,"9,796"
Acadia NP,ACAD,National Park,Northeast ,ME,1992,11,"46,316","20,223","277,896","20,223",0,0,363,177,0,0,0,Acadia NP,ACAD,National Park,Northeast ,ME,1992,"2,382,113","252,576","12,689,318","252,576",0,0,"128,478","31,437",0,0,"9,796"
Acadia NP,ACAD,National Park,Northeast ,ME,1992,12,"18,693","20,373","112,158","20,373",0,0,69,0,0,0,0,Acadia NP,ACAD,National Park,Northeast ,ME,1992,"2,382,113","252,576","12,689,318","252,576",0,0,"128,478","31,437",0,0,"9,796"
Adams NHP,ADAM,National Historical Park,Northeast ,MA,1992,1,2,33,1,33,0,0,0,0,0,0,0,Adams NHP,ADAM,National Historical Park,Northeast ,MA,1992,"27,400",982,"20,522",455,0,0,0,0,0,0,0
Adams NHP,ADAM,National Historical Park,Northeast ,MA,1992,2,34,15,18,15,0,0,0,0,0,0,0,Adams NHP,ADAM,National Historical Park,Northeast ,MA,1992,"27,400",982,"20,522",455,0,0,0,0,0,0,0
Adams NHP,ADAM,National Historical Park,Northeast ,MA,1992,3,31,26,16,26,0,0,0,0,0,0,0,Adams NHP,ADAM,National Historical Park,Northeast ,MA,1992,"27,400",982,"20,522",455,0,0,0,0,0,0,0
Adams NHP,ADAM,National Historical Park,Northeast ,MA,1992,4,"2,907",140,"2,181",140,0,0,0,0,0,0,0,Adams NHP,ADAM,National Historical Park,Northeast ,MA,1992,"27,400",982,"20,522",455,0,0,0,0,0,0,0
Adams NHP,ADAM,National Historical Park,Northeast ,MA,1992,5,"3,761",69,"2,820",69,0,0,0,0,0,0,0,Adams NHP,ADAM,National Historical Park,Northeast ,MA,1992,"27,400",982,"20,522",455,0,0,0,0,0,0,0
Adams NHP,ADAM,National Historical Park,Northeast ,MA,1992,6,"3,790",73,"2,843",73,0,0,0,0,0,0,0,Adams NHP,ADAM,National Historical Park,Northeast ,MA,1992,"27,400",982,"20,522",455,0,0,0,0,0,0,0
Adams NHP,ADAM,National Historical Park,Northeast ,MA,1992,7,"5,334",110,"4,000",110,0,0,0,0,0,0,0,Adams NHP,ADAM,National Historical Park,Northeast ,MA,1992,"27,400",982,"20,522",455,0,0,0,0,0,0,0
