ParkName,UnitCode,ParkType,Region,State,Year,Month,RecreationVisits,NonRecreationVisits,RecreationHours,NonRecreationHours,ConcessionerLodging,ConcessionerCamping,TentCampers,RVCampers,Backcountry,NonRecreationOvernightStays,MiscellaneousOvernightStays,ParkNameTotal,UnitCodeTotal,ParkTypeTotal,RegionTotal,StateTotal,YearTotal,RecreationVisitsTotal,NonRecreationVisitsTotal,RecreationHoursTotal,NonRecreationHoursTotal,ConcessionerLodgingTotal,ConcessionerCampingTotal,TentCampersTotal,RVCampersTotal,BackcountryTotal,NonRecreationOvernightStaysTotal,MiscellaneousOvernightStaysTotal
Abraham Lincoln Birthplace NHP,ABLI,National Historical Park,Southeast ,KY,2000,1,"5,722",0,"5,722",0,0,0,0,0,0,0,0,Abraham Lincoln Birthplace NHP,ABLI,National Historical Park,Southeast ,KY,2000,"236,180",0,"236,180",0,0,0,0,0,0,0,0
Abraham Lincoln Birthplace NHP,ABLI,National Historical Park,Southeast ,KY,2000,2,"7,108",0,"7,108",0,0,0,0,0,0,0,0,Abraham Lincoln Birthplace NHP,ABLI,National Historical Park,Southeast ,KY,2000,"236,180",0,"236,180",0,0,0,0,0,0,0,0
Abraham Lincoln Birthplace NHP,ABLI,National Historical Park,Southeast ,KY,2000,3,"12,726",0,"12,726",0,0,0,0,0,0,0,0,Abraham Lincoln Birthplace NHP,ABLI,National Historical Park,Southeast ,KY,2000,"236,180",0,"236,180",0,0,0,0,0,0,0,0
Abraham Lincoln Birthplace NHP,ABLI,National Historical Park,Southeast ,KY,2000,4,"23,698",0,"23,698",0,0,0,0,0,0,0,0,Abraham Lincoln Birthplace NHP,ABLI,National Historical Park,Southeast ,KY,2000,"236,180",0,"236,180",0,0,0,0,0,0,0,0
Abraham Lincoln Birthplace NHP,ABLI,National Historical Park,Southeast ,KY,2000,5,"27,027",0,"27,027",0,0,0,0,0,0,0,0,Abraham Lincoln Birthplace NHP,ABLI,National Historical Park,Southeast ,KY,2000,"236,180",0,"236,180",0,0,0,0,0,0,0,0
Abraham Lincoln Birthplace NHP,ABLI,National Historical Park,Southeast ,KY,2000,6,"30,403",0,"30,403",0,0,0,0,0,0,0,0,Abraham Lincoln Birthplace NHP,ABLI,National Historical Park,Southeast ,KY,2000,"236,180",0,"236,180",0,0,0,0,0,0,0,0
Abraham Lincoln Birthplace NHP,ABLI,National Historical Park,Southeast ,KY,2000,7,"35,085",0,"35,085",0,0,0,0,0,0,0,0,Abraham Lincoln Birthplace NHP,ABLI,National Historical Park,Southeast ,KY,2000,"236,180",0,"236,180",0,0,0,0,0,0,0,0
Abraham Lincoln Birthplace NHP,ABLI,National Historical Park,Southeast ,KY,2000,8,"37,343",0,"37,343",0,0,0,0,0,0,0,0,Abraham Lincoln Birthplace NHP,ABLI,National Historical Park,Southeast ,KY,2000,"236,180",0,"236,180",0,0,0,0,0,0,0,0
Abraham Lincoln Birthplace NHP,ABLI,National Historical Park,Southeast ,KY,2000,9,"24,811",0,"24,811",0,0,0,0,0,0,0,0,Abraham Lincoln Birthplace NHP,ABLI,National Historical Park,Southeast ,KY,2000,"236,180",0,"236,180",0,0,0,0,0,0,0,0
Abraham Lincoln Birthplace NHP,ABLI,National Historical Park,Southeast ,KY,2000,10,"17,509",0,"17,509",0,0,0,0,0,0,0,0,Abraham Lincoln Birthplace NHP,ABLI,National Historical Park,Southeast ,KY,2000,"236,180",0,"236,180",0,0,0,0,0,0,0,0
Abraham Lincoln Birthplace NHP,ABLI,National Historical Park,Southeast ,KY,2000,11,"9,653",0,"9,653",0,0,0,0,0,0,0,0,Abraham Lincoln Birthplace NHP,ABLI,National Historical Park,Southeast ,KY,2000,"236,180",0,"236,180",0,0,0,0,0,0,0,0
Abraham Lincoln Birthplace NHP,ABLI,National Historical Park,Southeast ,KY,2000,12,"5,095",0,"5,095",0,0,0,0,0,0,0,0,Abraham Lincoln Birthplace NHP,ABLI,National Historical Park,Southeast ,KY,2000,"236,180",0,"236,180",0,0,0,0,0,0,0,0
Acadia NP,ACAD,National Park,Northeast ,ME,2000,1,"22,500","20,373","148,500","20,373",0,0,105,0,0,0,0,Acadia NP,ACAD,National Park,Northeast ,ME,2000,"2,469,238","252,576","13,230,679","252,576",0,0,"114,033","22,692",0,0,"9,747"
Acadia NP,ACAD,National Park,Northeast ,ME,2000,2,"23,848","19,923","157,397","19,923",0,0,75,6,0,0,0,Acadia NP,ACAD,National Park,Northeast ,ME,2000,"2,469,238","252,576","13,230,679","252,576",0,0,"114,033","22,692",0,0,"9,747"
Acadia NP,ACAD,National Park,Northeast ,ME,2000,3,"35,423","20,373","233,792","20,373",0,0,354,3,0,0,0,Acadia NP,ACAD,National Park,Northeast ,ME,2000,"2,469,238","252,576","13,230,679","252,576",0,0,"114,033","22,692",0,0,"9,747"
Acadia NP,ACAD,National Park,Northeast ,ME,2000,4,"78,555","21,723","455,619","21,723",0,0,"1,122",240,0,0,0,Acadia NP,ACAD,National Park,Northeast ,ME,2000,"2,469,238","252,576","13,230,679","252,576",0,0,"114,033","22,692",0,0,"9,747"
Acadia NP,ACAD,National Park,Northeast ,ME,2000,5,"166,456","21,923","965,445","21,923",0,0,"6,279",993,0,0,663,Acadia NP,ACAD,National Park,Northeast ,ME,2000,"2,469,238","252,576","13,230,679","252,576",0,0,"114,033","22,692",0,0,"9,747"
Acadia NP,ACAD,National Park,Northeast ,ME,2000,6,"319,208","21,723","1,851,406","21,723",0,0,"15,384","3,009",0,0,"2,054",Acadia NP,ACAD,National Park,Northeast ,ME,2000,"2,469,238","252,576","13,230,679","252,576",0,0,"114,033","22,692",0,0,"9,747"
Acadia NP,ACAD,National Park,Northeast ,ME,2000,7,"547,929","21,923","2,739,645","21,923",0,0,"34,500","4,953",0,0,"2,576",Acadia NP,ACAD,National Park,Northeast ,ME,2000,"2,469,238","252,576","13,230,679","252,576",0,0,"114,033","22,692",0,0,"9,747"
Acadia NP,ACAD,National Park,Northeast ,ME,2000,8,"594,904","21,923","2,974,520","21,923",0,0,"35,235","5,877",0,0,"3,065",Acadia NP,ACAD,National Park,Northeast ,ME,2000,"2,469,238","252,576","13,230,679","252,576",0,0,"114,033","22,692",0,0,"9,747"
Acadia NP,ACAD,National Park,Northeast ,ME,2000,9,"378,135","21,723","1,890,675","21,723",0,0,"15,396","5,427",0,0,764,Acadia NP,ACAD,National Park,Northeast ,ME,2000,"2,469,238","252,576","13,230,679","252,576",0,0,"114,033","22,692",0,0,"9,747"
Acadia NP,ACAD,National Park,Northeast ,ME,2000,10,"253,626","20,373","1,521,756","20,373",0,0,"5,151","1,929",0,0,625,Acadia NP,ACAD,National Park,Northeast ,ME,2000,"2,469,238","252,576","13,230,679","252,576",0,0,"114,033","22,692",0,0,"9,747"
Acadia NP,ACAD,National Park,Northeast ,ME,2000,11,"33,693","20,223","202,158","20,223",0,0,345,240,0,0,0,Acadia NP,ACAD,National Park,Northeast ,ME,2000,"2,469,238","252,576","13,230,679","252,576",0,0,"114,033","22,692",0,0,"9,747"
Acadia NP,ACAD,National Park,Northeast ,ME,2000,12,"14,961","20,373","89,766","20,373",0,0,87,15,0,0,0,Acadia NP,ACAD,National Park,Northeast ,ME,2000,"2,469,238","252,576","13,230,679","252,576",0,0,"114,033","22,692",0,0,"9,747"
Adams NHP,ADAM,National Historical Park,Northeast ,MA,2000,1,"1,291",68,786,68,0,0,0,0,0,0,0,Adams NHP,ADAM,National Historical Park,Northeast ,MA,2000,"87,347","1,411","77,664",709,0,0,0,0,0,0,0
Adams NHP,ADAM,National Historical Park,Northeast ,MA,2000,2,"2,570",67,739,67,0,0,0,0,0,0,0,Adams NHP,ADAM,National Historical Park,Northeast ,MA,2000,"87,347","1,411","77,664",709,0,0,0,0,0,0,0
Adams NHP,ADAM,National Historical Park,Northeast ,MA,2000,3,"1,662",116,922,116,0,0,0,0,0,0,0,Adams NHP,ADAM,National Historical Park,Northeast ,MA,2000,"87,347","1,411","77,664",709,0,0,0,0,0,0,0
Adams NHP,ADAM,National Historical Park,Northeast ,MA,2000,4,"4,231",71,"4,007",71,0,0,0,0,0,0,0,Adams NHP,ADAM,National Historical Park,Northeast ,MA,2000,"87,347","1,411","77,664",709,0,0,0,0,0,0,0
Adams NHP,ADAM,National Historical Park,Northeast ,MA,2000,5,"8,946",122,"8,265",122,0,0,0,0,0,0,0,Adams NHP,ADAM,National Historical Park,Northeast ,MA,2000,"87,347","1,411","77,664",709,0,0,0,0,0,0,0
Adams NHP,ADAM,National Historical Park,Northeast ,MA,2000,6,"16,588",153,"15,865",153,0,0,0,0,0,0,0,Adams NHP,ADAM,National Historical Park,Northeast ,MA,2000,"87,347","1,411","77,664",709,0,0,0,0,0,0,0
Adams NHP,ADAM,National Historical Park,Northeast ,MA,2000,7,"16,995",110,"16,691",110,0,0,0,0,0,0,0,Adams NHP,ADAM,National Historical Park,Northeast ,MA,2000,"87,347","1,411","77,664",709,0,0,0,0,0,0,0
Adams NHP,ADAM,National Historical Park,Northeast ,MA,2000,8,"7,980",115,"7,800",115,0,0,0,0,0,0,0,Adams NHP,ADAM,National Historical Park,Northeast ,MA,2000,"87,347","1,411","77,664",709,0,0,0,0,0,0,0
Adams NHP,ADAM,National Historical Park,Northeast ,MA,2000,9,"7,186",121,"6,996",121,0,0,0,0,0,0,0,Adams NHP,ADAM,National Historical Park,Northeast ,MA,2000,"87,347","1,411","77,664",709,0,0,0,0,0,0,0
Adams NHP,ADAM,National Historical Park,Northeast ,MA,2000,10,"9,961",97,"8,966",97,0,0,0,0,0,0,0,Adams NHP,ADAM,National Historical Park,Northeast ,MA,2000,"87,347","1,411","77,664",709,0,0,0,0,0,0,0
Adams NHP,ADAM,National Historical Park,Northeast ,MA,2000,11,"4,594",138,"4,237",138,0,0,0,0,0,0,0,Adams NHP,ADAM,National Historical Park,Northeast ,MA,2000,"87,347","1,411","77,664",709,0,0,0,0,0,0,0
Adams NHP,ADAM,National Historical Park,Northeast ,MA,2000,12,"5,343",233,"2,390",233,0,0,0,0,0,0,0,Adams NHP,ADAM,National Historical Park,Northeast ,MA,2000,"87,347","1,411","77,664",709,0,0,0,0,0,0,0
Agate Fossil Beds NM,AGFO,National Monument,Midwest ,NE,2000,1,103,0,223,0,0,0,0,0,0,0,0,Agate Fossil Beds NM,AGFO,National Monument,Midwest ,NE,2000,"17,933",0,"43,545",0,0,0,0,0,0,0,0
Agate Fossil Beds NM,AGFO,National Monument,Midwest ,NE,2000,2,163,0,288,0,0,0,0,0,0,0,0,Agate Fossil Beds NM,AGFO,National Monument,Midwest ,NE,2000,"17,933",0,"43,545",0,0,0,0,0,0,0,0
Agate Fossil Beds NM,AGFO,National Monument,Midwest ,NE,2000,3,430,0,"1,047",0,0,0,0,0,0,0,0,Agate Fossil Beds NM,AGFO,National Monument,Midwest ,NE,2000,"17,933",0,"43,545",0,0,0,0,0,0,0,0
Agate Fossil Beds NM,AGFO,National Monument,Midwest ,NE,2000,4,788,0,"1,777",0,0,0,0,0,0,0,0,Agate Fossil Beds NM,AGFO,National Monument,Midwest ,NE,2000,"17,933",0,"43,545",0,0,0,0,0,0,0,0
Agate Fossil Beds NM,AGFO,National Monument,Midwest ,NE,2000,5,"2,153",0,"5,242",0,0,0,0,0,0,0,0,Agate Fossil Beds NM,AGFO,National Monument,Midwest ,NE,2000,"17,933",0,"43,545",0,0,0,0,0,0,0,0
Agate Fossil Beds NM,AGFO,National Monument,Midwest ,NE,2000,6,"3,093",0,"7,638",0,0,0,0,0,0,0,0,Agate Fossil Beds NM,AGFO,National Monument,Midwest ,NE,2000,"17,933",0,"43,545",0,0,0,0,0,0,0,0
Agate Fossil Beds NM,AGFO,National Monument,Midwest ,NE,2000,7,"4,449",0,"10,798",0,0,0,0,0,0,0,0,Agate Fossil Beds NM,AGFO,National Monument,Midwest ,NE,2000,"17,933",0,"43,545",0,0,0,0,0,0,0,0
Agate Fossil Beds NM,AGFO,National Monument,Midwest ,NE,2000,8,"3,280",0,"8,222",0,0,0,0,0,0,0,0,Agate Fossil Beds NM,AGFO,National Monument,Midwest ,NE,2000,"17,933",0,"43,545",0,0,0,0,0,0,0,0
Agate Fossil Beds NM,AGFO,National Monument,Midwest ,NE,2000,9,"2,024",0,"4,816",0,0,0,0,0,0,0,0,Agate Fossil Beds NM,AGFO,National Monument,Midwest ,NE,2000,"17,933",0,"43,545",0,0,0,0,0,0,0,0
Agate Fossil Beds NM,AGFO,National Monument,Midwest ,NE,2000,10,"1,014",0,"2,631",0,0,0,0,0,0,0,0,Agate Fossil Beds NM,AGFO,National Monument,Midwest ,NE,2000,"17,933",0,"43,545",0,0,0,0,0,0,0,0
Agate Fossil Beds NM,AGFO,National Monument,Midwest ,NE,2000,11,260,0,529,0,0,0,0,0,0,0,0,Agate Fossil Beds NM,AGFO,National Monument,Midwest ,NE,2000,"17,933",0,"43,545",0,0,0,0,0,0,0,0
