ParkName,UnitCode,ParkType,Region,State,Year,Month,RecreationVisits,NonRecreationVisits,RecreationHours,NonRecreationHours,ConcessionerLodging,ConcessionerCamping,TentCampers,RVCampers,Backcountry,NonRecreationOvernightStays,MiscellaneousOvernightStays,ParkNameTotal,UnitCodeTotal,ParkTypeTotal,RegionTotal,StateTotal,YearTotal,RecreationVisitsTotal,NonRecreationVisitsTotal,RecreationHoursTotal,NonRecreationHoursTotal,ConcessionerLodgingTotal,ConcessionerCampingTotal,TentCampersTotal,RVCampersTotal,BackcountryTotal,NonRecreationOvernightStaysTotal,MiscellaneousOvernightStaysTotal
Abraham Lincoln Birthplace NHP,ABLI,National Historical Park,Southeast ,KY,1996,1,"3,168",0,"3,168",0,0,0,0,0,0,0,0,Abraham Lincoln Birthplace NHP,ABLI,National Historical Park,Southeast ,KY,1996,"249,344",0,"249,344",0,0,0,0,0,0,0,0
Abraham Lincoln Birthplace NHP,ABLI,National Historical Park,Southeast ,KY,1996,2,"6,305",0,"6,305",0,0,0,0,0,0,0,0,Abraham Lincoln Birthplace NHP,ABLI,National Historical Park,Southeast ,KY,1996,"249,344",0,"249,344",0,0,0,0,0,0,0,0
Abraham Lincoln Birthplace NHP,ABLI,National Historical Park,Southeast ,KY,1996,3,"11,031",0,"11,031",0,0,0,0,0,0,0,0,Abraham Lincoln Birthplace NHP,ABLI,National Historical Park,Southeast ,KY,1996,"249,344",0,"249,344",0,0,0,0,0,0,0,0
Abraham Lincoln Birthplace NHP,ABLI,National Historical Park,Southeast ,KY,1996,4,"20,920",0,"20,920",0,0,0,0,0,0,0,0,Abraham Lincoln Birthplace NHP,ABLI,National Historical Park,Southeast ,KY,1996,"249,344",0,"249,344",0,0,0,0,0,0,0,0
Abraham Lincoln Birthplace NHP,ABLI,National Historical Park,Southeast ,KY,1996,5,"26,565",0,"26,565",0,0,0,0,0,0,0,0,Abraham Lincoln Birthplace NHP,ABLI,National Historical Park,Southeast ,KY,1996,"249,344",0,"249,344",0,0,0,0,0,0,0,0
Abraham Lincoln Birthplace NHP,ABLI,National Historical Park,Southeast ,KY,1996,6,"35,569",0,"35,569",0,0,0,0,0,0,0,0,Abraham Lincoln Birthplace NHP,ABLI,National Historical Park,Southeast ,KY,1996,"249,344",0,"249,344",0,0,0,0,0,0,0,0
Abraham Lincoln Birthplace NHP,ABLI,National Historical Park,Southeast ,KY,1996,7,"45,318",0,"45,318",0,0,0,0,0,0,0,0,Abraham Lincoln Birthplace NHP,ABLI,National Historical Park,Southeast ,KY,1996,"249,344",0,"249,344",0,0,0,0,0,0,0,0
Abraham Lincoln Birthplace NHP,ABLI,National Historical Park,Southeast ,KY,1996,8,"39,004",0,"39,004",0,0,0,0,0,0,0,0,Abraham Lincoln Birthplace NHP,ABLI,National Historical Park,Southeast ,KY,1996,"249,344",0,"249,344",0,0,0,0,0,0,0,0
Abraham Lincoln Birthplace NHP,ABLI,National Historical Park,Southeast ,KY,1996,9,"27,207",0,"27,207",0,0,0,0,0,0,0,0,Abraham Lincoln Birthplace NHP,ABLI,National Historical Park,Southeast ,KY,1996,"249,344",0,"249,344",0,0,0,0,0,0,0,0
Abraham Lincoln Birthplace NHP,ABLI,National Historical Park,Southeast ,KY,1996,10,"20,453",0,"20,453",0,0,0,0,0,0,0,0,Abraham Lincoln Birthplace NHP,ABLI,National Historical Park,Southeast ,KY,1996,"249,344",0,"249,344",0,0,0,0,0,0,0,0
Abraham Lincoln Birthplace NHP,ABLI,National Historical Park,Southeast ,KY,1996,11,"7,765",0,"7,765",0,0,0,0,0,0,0,0,Abraham Lincoln Birthplace NHP,ABLI,National Historical Park,Southeast ,KY,1996,"249,344",0,"249,344",0,0,0,0,0,0,0,0
Abraham Lincoln Birthplace NHP,ABLI,National Historical Park,Southeast ,KY,1996,12,"6,039",0,"6,039",0,0,0,0,0,0,0,0,Abraham Lincoln Birthplace NHP,ABLI,National Historical Park,Southeast ,KY,1996,"249,344",0,"249,344",0,0,0,0,0,0,0,0
Acadia NP,ACAD,National Park,Northeast ,ME,1996,1,"17,655","20,373","116,523","20,373",0,0,45,0,0,0,0,Acadia NP,ACAD,National Park,Northeast ,ME,1996,"2,704,831","252,576","14,442,606","252,576",0,0,"108,939","35,526",0,0,"9,512"
Acadia NP,ACAD,National Park,Northeast ,ME,1996,2,"15,576","19,923","102,801","19,923",0,0,108,0,0,0,0,Acadia NP,ACAD,National Park,Northeast ,ME,1996,"2,704,831","252,576","14,442,606","252,576",0,0,"108,939","35,526",0,0,"9,512"
Acadia NP,ACAD,National Park,Northeast ,ME,1996,3,"32,452","20,373","214,184","20,373",0,0,303,9,0,0,0,Acadia NP,ACAD,National Park,Northeast ,ME,1996,"2,704,831","252,576","14,442,606","252,576",0,0,"108,939","35,526",0,0,"9,512"
Acadia NP,ACAD,National Park,Northeast ,ME,1996,4,"76,597","21,723","444,263","21,723",0,0,789,177,0,0,0,Acadia NP,ACAD,National Park,Northeast ,ME,1996,"2,704,831","252,576","14,442,606","252,576",0,0,"108,939","35,526",0,0,"9,512"
Acadia NP,ACAD,National Park,Northeast ,ME,1996,5,"166,290","21,923","964,482","21,923",0,0,"7,398","1,236",0,0,"1,068",Acadia NP,ACAD,National Park,Northeast ,ME,1996,"2,704,831","252,576","14,442,606","252,576",0,0,"108,939","35,526",0,0,"9,512"
