ParkName,UnitCode,ParkType,Region,State,Year,Month,RecreationVisits,NonRecreationVisits,RecreationHours,NonRecreationHours,ConcessionerLodging,ConcessionerCamping,TentCampers,RVCampers,Backcountry,NonRecreationOvernightStays,MiscellaneousOvernightStays,ParkNameTotal,UnitCodeTotal,ParkTypeTotal,RegionTotal,StateTotal,YearTotal,RecreationVisitsTotal,NonRecreationVisitsTotal,RecreationHoursTotal,NonRecreationHoursTotal,ConcessionerLodgingTotal,ConcessionerCampingTotal,TentCampersTotal,RVCampersTotal,BackcountryTotal,NonRecreationOvernightStaysTotal,MiscellaneousOvernightStaysTotal
Abraham Lincoln Birthplace NHP,ABLI,National Historical Park,Southeast ,KY,1991,1,"4,638",0,"4,638",0,0,0,0,0,0,0,0,Abraham Lincoln Birthplace NHP,ABLI,National Historical Park,Southeast ,KY,1991,"316,945",0,"316,945",0,0,0,0,0,0,0,0
Abraham Lincoln Birthplace NHP,ABLI,National Historical Park,Southeast ,KY,1991,2,"7,525",0,"7,525",0,0,0,0,0,0,0,0,Abraham Lincoln Birthplace NHP,ABLI,National Historical Park,Southeast ,KY,1991,"316,945",0,"316,945",0,0,0,0,0,0,0,0
Abraham Lincoln Birthplace NHP,ABLI,National Historical Park,Southeast ,KY,1991,3,"14,873",0,"14,873",0,0,0,0,0,0,0,0,Abraham Lincoln Birthplace NHP,ABLI,National Historical Park,Southeast ,KY,1991,"316,945",0,"316,945",0,0,0,0,0,0,0,0
Abraham Lincoln Birthplace NHP,ABLI,National Historical Park,Southeast ,KY,1991,4,"26,366",0,"26,366",0,0,0,0,0,0,0,0,Abraham Lincoln Birthplace NHP,ABLI,National Historical Park,Southeast ,KY,1991,"316,945",0,"316,945",0,0,0,0,0,0,0,0
Abraham Lincoln Birthplace NHP,ABLI,National Historical Park,Southeast ,KY,1991,5,"33,334",0,"33,334",0,0,0,0,0,0,0,0,Abraham Lincoln Birthplace NHP,ABLI,National Historical Park,Southeast ,KY,1991,"316,945",0,"316,945",0,0,0,0,0,0,0,0
Abraham Lincoln Birthplace NHP,ABLI,National Historical Park,Southeast ,KY,1991,6,"43,418",0,"43,418",0,0,0,0,0,0,0,0,Abraham Lincoln Birthplace NHP,ABLI,National Historical Park,Southeast ,KY,1991,"316,945",0,"316,945",0,0,0,0,0,0,0,0
Abraham Lincoln Birthplace NHP,ABLI,National Historical Park,Southeast ,KY,1991,7,"59,582",0,"59,582",0,0,0,0,0,0,0,0,Abraham Lincoln Birthplace NHP,ABLI,National Historical Park,Southeast ,KY,1991,"316,945",0,"316,945",0,0,0,0,0,0,0,0
Abraham Lincoln Birthplace NHP,ABLI,National Historical Park,Southeast ,KY,1991,8,"50,771",0,"50,771",0,0,0,0,0,0,0,0,Abraham Lincoln Birthplace NHP,ABLI,National Historical Park,Southeast ,KY,1991,"316,945",0,"316,945",0,0,0,0,0,0,0,0
Abraham Lincoln Birthplace NHP,ABLI,National Historical Park,Southeast ,KY,1991,9,"30,492",0,"30,492",0,0,0,0,0,0,0,0,Abraham Lincoln Birthplace NHP,ABLI,National Historical Park,Southeast ,KY,1991,"316,945",0,"316,945",0,0,0,0,0,0,0,0
Abraham Lincoln Birthplace NHP,ABLI,National Historical Park,Southeast ,KY,1991,10,"27,074",0,"27,074",0,0,0,0,0,0,0,0,Abraham Lincoln Birthplace NHP,ABLI,National Historical Park,Southeast ,KY,1991,"316,945",0,"316,945",0,0,0,0,0,0,0,0
Abraham Lincoln Birthplace NHP,ABLI,National Historical Park,Southeast ,KY,1991,11,"10,498",0,"10,498",0,0,0,0,0,0,0,0,Abraham Lincoln Birthplace NHP,ABLI,National Historical Park,Southeast ,KY,1991,"316,945",0,"316,945",0,0,0,0,0,0,0,0
Abraham Lincoln Birthplace NHP,ABLI,National Historical Park,Southeast ,KY,1991,12,"8,374",0,"8,374",0,0,0,0,0,0,0,0,Abraham Lincoln Birthplace NHP,ABLI,National Historical Park,Southeast ,KY,1991,"316,945",0,"316,945",0,0,0,0,0,0,0,0
Acadia NP,ACAD,National Park,Northeast ,ME,1991,1,"24,588","20,373","162,281","20,373",0,0,66,30,0,0,0,Acadia NP,ACAD,National Park,Northeast ,ME,1991,"2,475,857","252,576","13,198,380","252,576",0,0,"140,760","30,222",0,0,"9,581"
Acadia NP,ACAD,National Park,Northeast ,ME,1991,2,"14,667","19,923","96,802","19,923",0,0,87,3,0,0,0,Acadia NP,ACAD,National Park,Northeast ,ME,1991,"2,475,857","252,576","13,198,380","252,576",0,0,"140,760","30,222",0,0,"9,581"
Acadia NP,ACAD,National Park,Northeast ,ME,1991,3,"31,291","20,373","206,521","20,373",0,0,219,129,0,0,0,Acadia NP,ACAD,National Park,Northeast ,ME,1991,"2,475,857","252,576","13,198,380","252,576",0,0,"140,760","30,222",0,0,"9,581"
